,experiment,experiment_version,makespan,downtime_over_makespan,downtime_per_machine,usage,active_usage,total_work_content,status,runtime,gap
0,Experiment 1,3 Layers,32.0,"[[(0.0, 32.0)], [(0.0, 32.0)], [(10, 2), (30, 2.0)], [(30, 2.0)], [(0.0, 32.0)]]","[[32.0], [], [2, 2.0], [2.0], [32.0]]","[(0, 0.0, 0.0), (1, 32, 1.0), (2, 28, 0.875), (3, 30, 0.9375), (4, 0.0, 0.0)]","[(1, 32.0, 32.0, 1.0, 0, 32), (2, 28.0, 30.0, 0.9333333333333333, 0, 30), (3, 30.0, 30.0, 1.0, 0, 30)]",90,2,0.21299982070922852,0.0
1,Experiment 1,4 Layers,56.0,"[[(0.0, 56.0)], [(52, 4.0)], [(15, 1), (32, 2), (36, 6), (44, 12.0)], [(4, 2), (50, 6.0)], [(0.0, 2.0), (8, 1), (11, 1)], [(0.0, 4.0), (6, 4), (12, 1), (23, 1), (32, 1), (40, 1), (43, 1), (49, 7.0)], [(0.0, 3.0), (6, 3), (33, 1), (54, 2.0)], [(0.0, 56.0)]]","[[56.0], [4.0], [1, 2, 6, 12.0], [2, 6.0], [2.0, 1, 1], [4.0, 4, 1, 1, 1, 1, 1, 7.0], [3.0, 3, 1, 2.0], [56.0]]","[(0, 0.0, 0.0), (1, 52, 0.9285714285714286), (2, 35, 0.625), (3, 48, 0.8571428571428571), (4, 52, 0.9285714285714286), (5, 36, 0.6428571428571429), (6, 47, 0.8392857142857143), (7, 0.0, 0.0)]","[(1, 52.0, 52.0, 1.0, 0, 52), (2, 35.0, 44.0, 0.7954545454545454, 0, 44), (3, 48.0, 50.0, 0.96, 0, 50), (4, 52.0, 54.0, 0.9629629629629629, 2, 56), (5, 36.0, 45.0, 0.8, 4, 49), (6, 47.0, 51.0, 0.9215686274509803, 3, 54)]",270,11,16.354000091552734,
2,Experiment 1,5 Layers,21.0,"[[(0.0, 21.0)], [(8, 1), (15, 6.0)], [(3, 1), (9, 12.0)], [(13, 8.0)], [(0.0, 2.0), (6, 1), (9, 12.0)], [(0.0, 3.0), (5, 1), (7, 1), (9, 2), (12, 2), (16, 1), (19, 2.0)], [(0.0, 2.0), (4, 2), (14, 7.0)], [(0.0, 4.0), (12, 9.0)], [(0.0, 5.0), (6, 1), (8, 2), (13, 1), (15, 1), (17, 1)], [(0.0, 4.0), (16, 5.0)], [(0.0, 21.0)]]","[[21.0], [1, 6.0], [1, 12.0], [8.0], [2.0, 1, 12.0], [3.0, 1, 1, 2, 2, 1, 2.0], [2.0, 2, 7.0], [4.0, 9.0], [5.0, 1, 2, 1, 1, 1], [4.0, 5.0], [21.0]]","[(0, 0.0, 0.0), (1, 14, 0.6666666666666666), (2, 8, 0.38095238095238093), (3, 13, 0.6190476190476191), (4, 6, 0.2857142857142857), (5, 9, 0.42857142857142855), (6, 10, 0.47619047619047616), (7, 8, 0.38095238095238093), (8, 10, 0.47619047619047616), (9, 12, 0.5714285714285714), (10, 0.0, 0.0)]","[(1, 14.0, 15.0, 0.9333333333333333, 0, 15), (2, 8.0, 9.0, 0.8888888888888888, 0, 9), (3, 13.0, 13.0, 1.0, 0, 13), (4, 6.0, 7.0, 0.8571428571428571, 2, 9), (5, 9.0, 16.0, 0.5625, 3, 19), (6, 10.0, 12.0, 0.8333333333333334, 2, 14), (7, 8.0, 8.0, 1.0, 4, 12), (8, 10.0, 16.0, 0.625, 5, 21), (9, 12.0, 12.0, 1.0, 4, 16)]",90,11,0.440000057220459,
