,experiment,experiment_version,experiment_index,makespan,downtime_over_makespan,downtime_per_machine,usage,active_usage,total_work_content,status,runtime,gap
53,Experiment 1,High Flexibility,17,22.0,"[[(0.0, 22.0)], [(10, 2), (14, 8.0)], [(4, 3), (10, 12.0)], [(15, 7.0)], [(0.0, 2.0)], [(0.0, 2.0)], [(0.0, 2.0)], [(0.0, 22.0)]]","[[22.0], [2, 8.0], [3, 12.0], [7.0], [2.0], [2.0], [2.0], [22.0]]","[(0, 0.0, 0.0), (1, 12, 0.5454545454545454), (2, 7, 0.3181818181818182), (3, 15, 0.6818181818181818), (4, 20, 0.9090909090909091), (5, 20, 0.9090909090909091), (6, 20, 0.9090909090909091), (7, 0.0, 0.0)]","[(1, 12.0, 14.0, 0.8571428571428571, 0, 14), (2, 7.0, 10.0, 0.7, 0, 10), (3, 15.0, 15.0, 1.0, 0, 15), (4, 20.0, 20.0, 1.0, 2, 22), (5, 20.0, 20.0, 1.0, 2, 22), (6, 20.0, 20.0, 1.0, 2, 22)]",94,2,8.521000146865845,0.0
54,Experiment 1,No Flexibility,18,47.0,"[[(0.0, 47.0)], [(6, 41.0)], [(6, 41.0)], [(45, 2.0)], [(0.0, 2.0), (11, 36.0)], [(0.0, 2.0), (8, 39.0)], [(0.0, 5.0), (7, 3), (12, 9), (23, 1), (26, 4), (32, 1), (35, 1), (38, 5)], [(0.0, 47.0)]]","[[47.0], [41.0], [41.0], [2.0], [2.0, 36.0], [2.0, 39.0], [5.0, 3, 9, 1, 4, 1, 1, 5], [47.0]]","[(0, 0.0, 0.0), (1, 6, 0.1276595744680851), (2, 6, 0.1276595744680851), (3, 45, 0.9574468085106383), (4, 9, 0.19148936170212766), (5, 6, 0.1276595744680851), (6, 18, 0.3829787234042553), (7, 0.0, 0.0)]","[(1, 6.0, 6.0, 1.0, 0, 6), (2, 6.0, 6.0, 1.0, 0, 6), (3, 45.0, 45.0, 1.0, 0, 45), (4, 9.0, 9.0, 1.0, 2, 11), (5, 6.0, 6.0, 1.0, 2, 8), (6, 18.0, 42.0, 0.42857142857142855, 5, 47)]",90,2,0.1400001049041748,0.0
55,Experiment 1,Low Flexibility,18,27.0,"[[(0.0, 27.0)], [(20, 7.0)], [(12, 15.0)], [(25, 2.0)], [(0.0, 5.0), (7, 1), (11, 5), (22, 3)], [(0.0, 4.0), (6, 1), (13, 1), (16, 11.0)], [(0.0, 5.0), (7, 1), (10, 1), (13, 2), (17, 4), (23, 4.0)], [(0.0, 27.0)]]","[[27.0], [7.0], [15.0], [2.0], [5.0, 1, 5, 3], [4.0, 1, 1, 11.0], [5.0, 1, 1, 2, 4, 4.0], [27.0]]","[(0, 0.0, 0.0), (1, 20, 0.7407407407407407), (2, 12, 0.4444444444444444), (3, 25, 0.9259259259259259), (4, 13, 0.48148148148148145), (5, 10, 0.37037037037037035), (6, 10, 0.37037037037037035), (7, 0.0, 0.0)]","[(1, 20.0, 20.0, 1.0, 0, 20), (2, 12.0, 12.0, 1.0, 0, 12), (3, 25.0, 25.0, 1.0, 0, 25), (4, 13.0, 22.0, 0.5909090909090909, 5, 27), (5, 10.0, 12.0, 0.8333333333333334, 4, 16), (6, 10.0, 18.0, 0.5555555555555556, 5, 23)]",90,2,0.7100000381469727,0.0
56,Experiment 1,High Flexibility,18,21.0,"[[(0.0, 21.0)], [(19, 2.0)], [(19, 2.0)], [(19, 2.0)], [(0.0, 8.0), (10, 2), (15, 2)], [(0.0, 6.0), (8, 3), (18, 1)], [(0.0, 5.0), (7, 3)], [(0.0, 21.0)]]","[[21.0], [2.0], [2.0], [2.0], [8.0, 2, 2], [6.0, 3, 1], [5.0, 3], [21.0]]","[(0, 0.0, 0.0), (1, 19, 0.9047619047619048), (2, 19, 0.9047619047619048), (3, 19, 0.9047619047619048), (4, 9, 0.42857142857142855), (5, 11, 0.5238095238095238), (6, 13, 0.6190476190476191), (7, 0.0, 0.0)]","[(1, 19.0, 19.0, 1.0, 0, 19), (2, 19.0, 19.0, 1.0, 0, 19), (3, 19.0, 19.0, 1.0, 0, 19), (4, 9.0, 13.0, 0.6923076923076923, 8, 21), (5, 11.0, 15.0, 0.7333333333333333, 6, 21), (6, 13.0, 16.0, 0.8125, 5, 21)]",90,2,11.151999950408936,0.0
57,Experiment 1,No Flexibility,19,26.0,"[[(0.0, 26.0)], [(20, 6.0)], [(4, 22.0)], [(24, 2.0)], [(0.0, 4.0), (7, 2), (12, 2), (23, 3.0)], [(0.0, 2.0), (7, 1), (13, 13.0)], [(0.0, 6.0), (8, 3), (17, 1)], [(0.0, 26.0)]]","[[26.0], [6.0], [22.0], [2.0], [4.0, 2, 2, 3.0], [2.0, 1, 13.0], [6.0, 3, 1], [26.0]]","[(0, 0.0, 0.0), (1, 20, 0.7692307692307693), (2, 4, 0.15384615384615385), (3, 24, 0.9230769230769231), (4, 15, 0.5769230769230769), (5, 10, 0.38461538461538464), (6, 16, 0.6153846153846154), (7, 0.0, 0.0)]","[(1, 20.0, 20.0, 1.0, 0, 20), (2, 4.0, 4.0, 1.0, 0, 4), (3, 24.0, 24.0, 1.0, 0, 24), (4, 15.0, 19.0, 0.7894736842105263, 4, 23), (5, 10.0, 11.0, 0.9090909090909091, 2, 13), (6, 16.0, 20.0, 0.8, 6, 26)]",89,2,0.31799983978271484,0.0
58,Experiment 1,Low Flexibility,19,19.0,"[[(0.0, 19.0)], [(17, 2.0)], [(16, 3.0)], [(15, 4.0)], [(0.0, 6.0)], [(0.0, 2.0), (15, 1)], [(0.0, 3.0), (5, 3), (14, 1)], [(0.0, 19.0)]]","[[19.0], [2.0], [3.0], [4.0], [6.0], [2.0, 1], [3.0, 3, 1], [19.0]]","[(0, 0.0, 0.0), (1, 17, 0.8947368421052632), (2, 16, 0.8421052631578947), (3, 15, 0.7894736842105263), (4, 13, 0.6842105263157895), (5, 16, 0.8421052631578947), (6, 12, 0.631578947368421), (7, 0.0, 0.0)]","[(1, 17.0, 17.0, 1.0, 0, 17), (2, 16.0, 16.0, 1.0, 0, 16), (3, 15.0, 15.0, 1.0, 0, 15), (4, 13.0, 13.0, 1.0, 6, 19), (5, 16.0, 17.0, 0.9411764705882353, 2, 19), (6, 12.0, 16.0, 0.75, 3, 19)]",89,2,4.937999963760376,0.0
59,Experiment 1,High Flexibility,19,18.0,"[[(0.0, 18.0)], [(16, 2.0)], [(16, 2.0)], [(16, 2.0)], [(0.0, 3.0), (15, 1)], [(0.0, 2.0), (7, 1), (11, 1)], [(0.0, 4.0), (6, 1)], [(0.0, 18.0)]]","[[18.0], [2.0], [2.0], [2.0], [3.0, 1], [2.0, 1, 1], [4.0, 1], [18.0]]","[(0, 0.0, 0.0), (1, 16, 0.8888888888888888), (2, 16, 0.8888888888888888), (3, 16, 0.8888888888888888), (4, 14, 0.7777777777777778), (5, 14, 0.7777777777777778), (6, 13, 0.7222222222222222), (7, 0.0, 0.0)]","[(1, 16.0, 16.0, 1.0, 0, 16), (2, 16.0, 16.0, 1.0, 0, 16), (3, 16.0, 16.0, 1.0, 0, 16), (4, 14.0, 15.0, 0.9333333333333333, 3, 18), (5, 14.0, 16.0, 0.875, 2, 18), (6, 13.0, 14.0, 0.9285714285714286, 4, 18)]",89,2,15.03499984741211,0.0
60,Experiment 1,No Flexibility,20,27.0,"[[(0.0, 27.0)], [(24, 3.0)], [(6, 21.0)], [(24, 3.0)], [(0.0, 8.0), (10, 2), (16, 2), (22, 2), (26, 1.0)], [(0.0, 2.0), (14, 13.0)], [(0.0, 4.0), (7, 2), (12, 1), (16, 1), (23, 1)], [(0.0, 27.0)]]","[[27.0], [3.0], [21.0], [3.0], [8.0, 2, 2, 2, 1.0], [2.0, 13.0], [4.0, 2, 1, 1, 1], [27.0]]","[(0, 0.0, 0.0), (1, 24, 0.8888888888888888), (2, 6, 0.2222222222222222), (3, 24, 0.8888888888888888), (4, 12, 0.4444444444444444), (5, 12, 0.4444444444444444), (6, 18, 0.6666666666666666), (7, 0.0, 0.0)]","[(1, 24.0, 24.0, 1.0, 0, 24), (2, 6.0, 6.0, 1.0, 0, 6), (3, 24.0, 24.0, 1.0, 0, 24), (4, 12.0, 18.0, 0.6666666666666666, 8, 26), (5, 12.0, 12.0, 1.0, 2, 14), (6, 18.0, 23.0, 0.782608695652174, 4, 27)]",96,2,0.2590000629425049,0.0
61,Experiment 1,Low Flexibility,20,22.0,"[[(0.0, 22.0)], [(16, 6.0)], [(20, 2.0)], [(18, 4.0)], [(0.0, 4.0), (10, 2), (18, 2)], [(0.0, 2.0), (10, 2), (20, 2.0)], [(0.0, 8.0), (17, 1), (21, 1.0)], [(0.0, 22.0)]]","[[22.0], [6.0], [2.0], [4.0], [4.0, 2, 2], [2.0, 2, 2.0], [8.0, 1, 1.0], [22.0]]","[(0, 0.0, 0.0), (1, 16, 0.7272727272727273), (2, 20, 0.9090909090909091), (3, 18, 0.8181818181818182), (4, 14, 0.6363636363636364), (5, 16, 0.7272727272727273), (6, 12, 0.5454545454545454), (7, 0.0, 0.0)]","[(1, 16.0, 16.0, 1.0, 0, 16), (2, 20.0, 20.0, 1.0, 0, 20), (3, 18.0, 18.0, 1.0, 0, 18), (4, 14.0, 18.0, 0.7777777777777778, 4, 22), (5, 16.0, 18.0, 0.8888888888888888, 2, 20), (6, 12.0, 13.0, 0.9230769230769231, 8, 21)]",96,2,2.5900001525878906,0.0
62,Experiment 1,High Flexibility,20,20.0,"[[(0.0, 20.0)], [(18, 2.0)], [(18, 2.0)], [(18, 2.0)], [(0.0, 6.0), (10, 1)], [(0.0, 4.0), (6, 1), (11, 1)], [(0.0, 2.0), (9, 1), (13, 1), (17, 1)], [(0.0, 20.0)]]","[[20.0], [2.0], [2.0], [2.0], [6.0, 1], [4.0, 1, 1], [2.0, 1, 1, 1], [20.0]]","[(0, 0.0, 0.0), (1, 18, 0.9), (2, 18, 0.9), (3, 18, 0.9), (4, 13, 0.65), (5, 14, 0.7), (6, 15, 0.75), (7, 0.0, 0.0)]","[(1, 18.0, 18.0, 1.0, 0, 18), (2, 18.0, 18.0, 1.0, 0, 18), (3, 18.0, 18.0, 1.0, 0, 18), (4, 13.0, 14.0, 0.9285714285714286, 6, 20), (5, 14.0, 16.0, 0.875, 4, 20), (6, 15.0, 18.0, 0.8333333333333334, 2, 20)]",96,2,14.08400011062622,0.0
63,Experiment 1,No Flexibility,21,32.0,"[[(0.0, 32.0)], [(6, 2), (12, 2), (16, 16.0)], [(12, 20.0)], [(16, 2), (22, 3), (29, 3.0)], [(0.0, 2.0)], [(0.0, 4.0), (7, 4), (14, 6), (23, 9.0)], [(0.0, 11.0), (14, 1), (18, 1), (28, 1)], [(0.0, 32.0)]]","[[32.0], [2, 2, 16.0], [20.0], [2, 3, 3.0], [2.0], [4.0, 4, 6, 9.0], [11.0, 1, 1, 1], [32.0]]","[(0, 0.0, 0.0), (1, 12, 0.375), (2, 12, 0.375), (3, 24, 0.75), (4, 30, 0.9375), (5, 9, 0.28125), (6, 18, 0.5625), (7, 0.0, 0.0)]","[(1, 12.0, 16.0, 0.75, 0, 16), (2, 12.0, 12.0, 1.0, 0, 12), (3, 24.0, 29.0, 0.8275862068965517, 0, 29), (4, 30.0, 30.0, 1.0, 2, 32), (5, 9.0, 19.0, 0.47368421052631576, 4, 23), (6, 18.0, 21.0, 0.8571428571428571, 11, 32)]",105,2,0.3690001964569092,0.0
64,Experiment 1,Low Flexibility,21,22.0,"[[(0.0, 22.0)], [(18, 4.0)], [(14, 8.0)], [(4, 1), (17, 5.0)], [(0.0, 2.0), (18, 1)], [(0.0, 2.0)], [(0.0, 4.0)], [(0.0, 22.0)]]","[[22.0], [4.0], [8.0], [1, 5.0], [2.0, 1], [2.0], [4.0], [22.0]]","[(0, 0.0, 0.0), (1, 18, 0.8181818181818182), (2, 14, 0.6363636363636364), (3, 16, 0.7272727272727273), (4, 19, 0.8636363636363636), (5, 20, 0.9090909090909091), (6, 18, 0.8181818181818182), (7, 0.0, 0.0)]","[(1, 18.0, 18.0, 1.0, 0, 18), (2, 14.0, 14.0, 1.0, 0, 14), (3, 16.0, 17.0, 0.9411764705882353, 0, 17), (4, 19.0, 20.0, 0.95, 2, 22), (5, 20.0, 20.0, 1.0, 2, 22), (6, 18.0, 18.0, 1.0, 4, 22)]",105,2,2.5149998664855957,0.0
