experiment,experiment_version,makespan,downtime_over_makespan,downtime_per_machine,usage,active_usage,total_work_content,status,runtime,gap
Experiment 0,4 Layers,20.0,"[[(0.0, 20.0)], [(6, 1), (13, 7.0)], [(15, 5.0)], [(12, 8.0)], [(6, 1), (13, 7.0)], [(6, 1), (13, 7.0)], [(12, 8.0)], [(0.0, 7.0), (19, 1.0)], [(0.0, 3.0)], [(0.0, 3.0), (8, 2)], [(0.0, 6.0), (11, 1), (19, 1.0)], [(0.0, 6.0), (13, 1), (19, 1.0)], [(0.0, 3.0)], [(0.0, 20.0)]]","[[20.0], [1, 7.0], [5.0], [8.0], [1, 7.0], [1, 7.0], [8.0], [7.0, 1.0], [3.0], [3.0, 2], [6.0, 1, 1.0], [6.0, 1, 1.0], [3.0], [20.0]]","[(0, 0.0, 0.0), (1, 12, 0.6), (2, 15, 0.75), (3, 12, 0.6), (4, 12, 0.6), (5, 12, 0.6), (6, 12, 0.6), (7, 12, 0.6), (8, 17, 0.85), (9, 15, 0.75), (10, 12, 0.6), (11, 12, 0.6), (12, 17, 0.85), (13, 0.0, 0.0)]","[(1, 12.0, 13.0, 0.9230769230769231, 0, 13), (2, 15.0, 15.0, 1.0, 0, 15), (3, 12.0, 12.0, 1.0, 0, 12), (4, 12.0, 13.0, 0.9230769230769231, 0, 13), (5, 12.0, 13.0, 0.9230769230769231, 0, 13), (6, 12.0, 12.0, 1.0, 0, 12), (7, 12.0, 12.0, 1.0, 7, 19), (8, 17.0, 17.0, 1.0, 3, 20), (9, 15.0, 17.0, 0.8823529411764706, 3, 20), (10, 12.0, 13.0, 0.9230769230769231, 6, 19), (11, 12.0, 13.0, 0.9230769230769231, 6, 19), (12, 17.0, 17.0, 1.0, 3, 20)]",160,2,7.582000017166138,0.0
Experiment 0,5 Layers,26.0,"[[(0.0, 26.0)], [(15, 1), (19, 7.0)], [(18, 8.0)], [(21, 5.0)], [(18, 8.0)], [(0.0, 7.0), (8, 3), (12, 2), (16, 2), (23, 3.0)], [(0.0, 13.0), (22, 4.0)], [(0.0, 7.0), (11, 1), (14, 5), (20, 6.0)], [(0.0, 3.0), (4, 2), (10, 16.0)], [(0.0, 10.0), (13, 1), (24, 2.0)], [(0.0, 11.0), (18, 1)], [(0.0, 8.0), (12, 3), (19, 1), (24, 2.0)], [(0.0, 8.0), (12, 2)], [(0.0, 26.0)]]","[[26.0], [1, 7.0], [8.0], [5.0], [8.0], [7.0, 3, 2, 2, 3.0], [13.0, 4.0], [7.0, 1, 5, 6.0], [3.0, 2, 16.0], [10.0, 1, 2.0], [11.0, 1], [8.0, 3, 1, 2.0], [8.0, 2], [26.0]]","[(0, 0.0, 0.0), (1, 18, 0.6923076923076923), (2, 18, 0.6923076923076923), (3, 21, 0.8076923076923077), (4, 18, 0.6923076923076923), (5, 9, 0.34615384615384615), (6, 9, 0.34615384615384615), (7, 7, 0.2692307692307692), (8, 5, 0.19230769230769232), (9, 13, 0.5), (10, 14, 0.5384615384615384), (11, 12, 0.46153846153846156), (12, 16, 0.6153846153846154), (13, 0.0, 0.0)]","[(1, 18.0, 19.0, 0.9473684210526315, 0, 19), (2, 18.0, 18.0, 1.0, 0, 18), (3, 21.0, 21.0, 1.0, 0, 21), (4, 18.0, 18.0, 1.0, 0, 18), (5, 9.0, 16.0, 0.5625, 7, 23), (6, 9.0, 9.0, 1.0, 13, 22), (7, 7.0, 13.0, 0.5384615384615384, 7, 20), (8, 5.0, 7.0, 0.7142857142857143, 3, 10), (9, 13.0, 14.0, 0.9285714285714286, 10, 24), (10, 14.0, 15.0, 0.9333333333333333, 11, 26), (11, 12.0, 16.0, 0.75, 8, 24), (12, 16.0, 18.0, 0.8888888888888888, 8, 26)]",160,2,15.032000064849854,0.0
Experiment 0,6 Layers,23.0,"[[(0.0, 23.0)], [(15, 8.0)], [(10, 13.0)], [(15, 8.0)], [(0.0, 2.0), (3, 1), (11, 4), (16, 7.0)], [(0.0, 2.0), (5, 1), (13, 2), (16, 7.0)], [(0.0, 1.0), (11, 1), (17, 6.0)], [(0.0, 3.0), (4, 3), (8, 3), (20, 3.0)], [(0.0, 3.0), (4, 1), (6, 4), (11, 1), (20, 3.0)], [(0.0, 4.0), (5, 3), (9, 2), (12, 1), (18, 5.0)], [(0.0, 4.0), (16, 1)], [(0.0, 4.0)], [(0.0, 5.0)], [(0.0, 23.0)]]","[[23.0], [8.0], [13.0], [8.0], [2.0, 1, 4, 7.0], [2.0, 1, 2, 7.0], [1.0, 1, 6.0], [3.0, 3, 3, 3.0], [3.0, 1, 4, 1, 3.0], [4.0, 3, 2, 1, 5.0], [4.0, 1], [4.0], [5.0], [23.0]]","[(0, 0.0, 0.0), (1, 15, 0.6521739130434783), (2, 10, 0.43478260869565216), (3, 15, 0.6521739130434783), (4, 9, 0.391304347826087), (5, 11, 0.4782608695652174), (6, 15, 0.6521739130434783), (7, 11, 0.4782608695652174), (8, 11, 0.4782608695652174), (9, 8, 0.34782608695652173), (10, 18, 0.782608695652174), (11, 19, 0.8260869565217391), (12, 18, 0.782608695652174), (13, 0.0, 0.0)]","[(1, 15.0, 15.0, 1.0, 0, 15), (2, 10.0, 10.0, 1.0, 0, 10), (3, 15.0, 15.0, 1.0, 0, 15), (4, 9.0, 14.0, 0.6428571428571429, 2, 16), (5, 11.0, 14.0, 0.7857142857142857, 2, 16), (6, 15.0, 16.0, 0.9375, 1, 17), (7, 11.0, 17.0, 0.6470588235294118, 3, 20), (8, 11.0, 17.0, 0.6470588235294118, 3, 20), (9, 8.0, 14.0, 0.5714285714285714, 4, 18), (10, 18.0, 19.0, 0.9473684210526315, 4, 23), (11, 19.0, 19.0, 1.0, 4, 23), (12, 18.0, 18.0, 1.0, 5, 23)]",160,2,57.22099995613098,0.0
Experiment 1,4 Layers,18.0,"[[(0.0, 18.0)], [(15, 3.0)], [(15, 3.0)], [(15, 3.0)], [(0.0, 1.0), (12, 6.0)], [(12, 6.0)], [(6, 1), (13, 5.0)], [(0.0, 7.0)], [(0.0, 5.0), (8, 3), (14, 1)], [(0.0, 6.0), (11, 1)], [(0.0, 12.0), (17, 1.0)], [(0.0, 6.0), (14, 1)], [(0.0, 5.0), (8, 4), (17, 1.0)], [(0.0, 18.0)]]","[[18.0], [3.0], [3.0], [3.0], [1.0, 6.0], [6.0], [1, 5.0], [7.0], [5.0, 3, 1], [6.0, 1], [12.0, 1.0], [6.0, 1], [5.0, 4, 1.0], [18.0]]","[(0, 0.0, 0.0), (1, 15, 0.8333333333333334), (2, 15, 0.8333333333333334), (3, 15, 0.8333333333333334), (4, 11, 0.6111111111111112), (5, 12, 0.6666666666666666), (6, 12, 0.6666666666666666), (7, 11, 0.6111111111111112), (8, 9, 0.5), (9, 11, 0.6111111111111112), (10, 5, 0.2777777777777778), (11, 11, 0.6111111111111112), (12, 8, 0.4444444444444444), (13, 0.0, 0.0)]","[(1, 15.0, 15.0, 1.0, 0, 15), (2, 15.0, 15.0, 1.0, 0, 15), (3, 15.0, 15.0, 1.0, 0, 15), (4, 11.0, 11.0, 1.0, 1, 12), (5, 12.0, 12.0, 1.0, 0, 12), (6, 12.0, 13.0, 0.9230769230769231, 0, 13), (7, 11.0, 11.0, 1.0, 7, 18), (8, 9.0, 13.0, 0.6923076923076923, 5, 18), (9, 11.0, 12.0, 0.9166666666666666, 6, 18), (10, 5.0, 5.0, 1.0, 12, 17), (11, 11.0, 12.0, 0.9166666666666666, 6, 18), (12, 8.0, 12.0, 0.6666666666666666, 5, 17)]",135,2,12.240000009536743,0.0
Experiment 1,5 Layers,24.0,"[[(0.0, 24.0)], [(21, 3.0)], [(17, 7.0)], [(21, 3.0)], [(21, 3.0)], [(0.0, 5.0), (6, 4), (11, 5), (18, 3), (23, 1.0)], [(0.0, 5.0), (6, 5), (13, 4), (19, 5.0)], [(0.0, 5.0), (6, 5), (13, 3), (18, 3), (23, 1.0)], [(0.0, 5.0), (6, 5), (13, 3), (18, 3), (23, 1.0)], [(0.0, 6.0), (8, 3), (13, 5), (21, 2)], [(0.0, 6.0), (8, 5), (16, 3), (22, 2.0)], [(0.0, 6.0), (8, 5), (16, 2), (19, 4)], [(0.0, 6.0), (8, 5), (16, 2), (19, 4)], [(0.0, 24.0)]]","[[24.0], [3.0], [7.0], [3.0], [3.0], [5.0, 4, 5, 3, 1.0], [5.0, 5, 4, 5.0], [5.0, 5, 3, 3, 1.0], [5.0, 5, 3, 3, 1.0], [6.0, 3, 5, 2], [6.0, 5, 3, 2.0], [6.0, 5, 2, 4], [6.0, 5, 2, 4], [24.0]]","[(0, 0.0, 0.0), (1, 21, 0.875), (2, 17, 0.7083333333333334), (3, 21, 0.875), (4, 21, 0.875), (5, 6, 0.25), (6, 5, 0.20833333333333334), (7, 7, 0.2916666666666667), (8, 7, 0.2916666666666667), (9, 8, 0.3333333333333333), (10, 8, 0.3333333333333333), (11, 7, 0.2916666666666667), (12, 7, 0.2916666666666667), (13, 0.0, 0.0)]","[(1, 21.0, 21.0, 1.0, 0, 21), (2, 17.0, 17.0, 1.0, 0, 17), (3, 21.0, 21.0, 1.0, 0, 21), (4, 21.0, 21.0, 1.0, 0, 21), (5, 6.0, 18.0, 0.3333333333333333, 5, 23), (6, 5.0, 14.0, 0.35714285714285715, 5, 19), (7, 7.0, 18.0, 0.3888888888888889, 5, 23), (8, 7.0, 18.0, 0.3888888888888889, 5, 23), (9, 8.0, 18.0, 0.4444444444444444, 6, 24), (10, 8.0, 16.0, 0.5, 6, 22), (11, 7.0, 18.0, 0.3888888888888889, 6, 24), (12, 7.0, 18.0, 0.3888888888888889, 6, 24)]",135,2,1.6700000762939453,0.0
Experiment 1,6 Layers,19.0,"[[(0.0, 19.0)], [(12, 7.0)], [(14, 5.0)], [(14, 5.0)], [(0.0, 3.0), (15, 4.0)], [(0.0, 1.0), (15, 4.0)], [(0.0, 1.0), (15, 4.0)], [(0.0, 6.0), (11, 2), (14, 1), (16, 3.0)], [(0.0, 5.0), (7, 2), (11, 1), (18, 1.0)], [(0.0, 6.0), (10, 1), (13, 2), (17, 2.0)], [(0.0, 9.0)], [(0.0, 11.0)], [(0.0, 7.0)], [(0.0, 19.0)]]","[[19.0], [7.0], [5.0], [5.0], [3.0, 4.0], [1.0, 4.0], [1.0, 4.0], [6.0, 2, 1, 3.0], [5.0, 2, 1, 1.0], [6.0, 1, 2, 2.0], [9.0], [11.0], [7.0], [19.0]]","[(0, 0.0, 0.0), (1, 12, 0.631578947368421), (2, 14, 0.7368421052631579), (3, 14, 0.7368421052631579), (4, 12, 0.631578947368421), (5, 14, 0.7368421052631579), (6, 14, 0.7368421052631579), (7, 7, 0.3684210526315789), (8, 10, 0.5263157894736842), (9, 8, 0.42105263157894735), (10, 10, 0.5263157894736842), (11, 8, 0.42105263157894735), (12, 12, 0.631578947368421), (13, 0.0, 0.0)]","[(1, 12.0, 12.0, 1.0, 0, 12), (2, 14.0, 14.0, 1.0, 0, 14), (3, 14.0, 14.0, 1.0, 0, 14), (4, 12.0, 12.0, 1.0, 3, 15), (5, 14.0, 14.0, 1.0, 1, 15), (6, 14.0, 14.0, 1.0, 1, 15), (7, 7.0, 10.0, 0.7, 6, 16), (8, 10.0, 13.0, 0.7692307692307693, 5, 18), (9, 8.0, 11.0, 0.7272727272727273, 6, 17), (10, 10.0, 10.0, 1.0, 9, 19), (11, 8.0, 8.0, 1.0, 11, 19), (12, 12.0, 12.0, 1.0, 7, 19)]",135,2,162.31700015068054,0.0
Experiment 2,4 Layers,19.0,"[[(0.0, 19.0)], [(12, 7.0)], [(13, 6.0)], [(13, 6.0)], [(13, 6.0)], [(15, 4.0)], [(14, 5.0)], [(0.0, 3.0)], [(0.0, 7.0), (12, 1)], [(0.0, 3.0), (9, 1)], [(0.0, 6.0)], [(0.0, 7.0), (12, 1)], [(0.0, 10.0)], [(0.0, 19.0)]]","[[19.0], [7.0], [6.0], [6.0], [6.0], [4.0], [5.0], [3.0], [7.0, 1], [3.0, 1], [6.0], [7.0, 1], [10.0], [19.0]]","[(0, 0.0, 0.0), (1, 12, 0.631578947368421), (2, 13, 0.6842105263157895), (3, 13, 0.6842105263157895), (4, 13, 0.6842105263157895), (5, 15, 0.7894736842105263), (6, 14, 0.7368421052631579), (7, 16, 0.8421052631578947), (8, 11, 0.5789473684210527), (9, 15, 0.7894736842105263), (10, 13, 0.6842105263157895), (11, 11, 0.5789473684210527), (12, 9, 0.47368421052631576), (13, 0.0, 0.0)]","[(1, 12.0, 12.0, 1.0, 0, 12), (2, 13.0, 13.0, 1.0, 0, 13), (3, 13.0, 13.0, 1.0, 0, 13), (4, 13.0, 13.0, 1.0, 0, 13), (5, 15.0, 15.0, 1.0, 0, 15), (6, 14.0, 14.0, 1.0, 0, 14), (7, 16.0, 16.0, 1.0, 3, 19), (8, 11.0, 12.0, 0.9166666666666666, 7, 19), (9, 15.0, 16.0, 0.9375, 3, 19), (10, 13.0, 13.0, 1.0, 6, 19), (11, 11.0, 12.0, 0.9166666666666666, 7, 19), (12, 9.0, 9.0, 1.0, 10, 19)]",155,2,21.27500009536743,0.0
Experiment 2,5 Layers,25.0,"[[(0.0, 25.0)], [(20, 5.0)], [(20, 5.0)], [(21, 4.0)], [(19, 6.0)], [(0.0, 8.0), (21, 4.0)], [(0.0, 12.0), (22, 3.0)], [(0.0, 9.0), (15, 10.0)], [(0.0, 3.0), (6, 2), (12, 7), (23, 2.0)], [(0.0, 12.0), (13, 3)], [(0.0, 11.0), (14, 4), (21, 1)], [(0.0, 18.0), (21, 1), (24, 1.0)], [(0.0, 6.0), (9, 5), (15, 1), (19, 1), (24, 1.0)], [(0.0, 25.0)]]","[[25.0], [5.0], [5.0], [4.0], [6.0], [8.0, 4.0], [12.0, 3.0], [9.0, 10.0], [3.0, 2, 7, 2.0], [12.0, 3], [11.0, 4, 1], [18.0, 1, 1.0], [6.0, 5, 1, 1, 1.0], [25.0]]","[(0, 0.0, 0.0), (1, 20, 0.8), (2, 20, 0.8), (3, 21, 0.84), (4, 19, 0.76), (5, 13, 0.52), (6, 10, 0.4), (7, 6, 0.24), (8, 11, 0.44), (9, 10, 0.4), (10, 9, 0.36), (11, 5, 0.2), (12, 11, 0.44), (13, 0.0, 0.0)]","[(1, 20.0, 20.0, 1.0, 0, 20), (2, 20.0, 20.0, 1.0, 0, 20), (3, 21.0, 21.0, 1.0, 0, 21), (4, 19.0, 19.0, 1.0, 0, 19), (5, 13.0, 13.0, 1.0, 8, 21), (6, 10.0, 10.0, 1.0, 12, 22), (7, 6.0, 6.0, 1.0, 9, 15), (8, 11.0, 20.0, 0.55, 3, 23), (9, 10.0, 13.0, 0.7692307692307693, 12, 25), (10, 9.0, 14.0, 0.6428571428571429, 11, 25), (11, 5.0, 6.0, 0.8333333333333334, 18, 24), (12, 11.0, 18.0, 0.6111111111111112, 6, 24)]",155,2,20.078999996185303,0.0
Experiment 2,6 Layers,26.0,"[[(0.0, 26.0)], [(20, 6.0)], [(19, 7.0)], [(21, 5.0)], [(0.0, 2.0), (4, 5), (12, 2), (16, 10.0)], [(0.0, 1.0), (6, 5), (12, 4), (17, 4), (22, 4.0)], [(0.0, 2.0), (4, 9), (14, 5), (21, 5.0)], [(0.0, 3.0), (12, 4), (25, 1.0)], [(0.0, 6.0), (7, 6), (18, 3), (25, 1.0)], [(0.0, 5.0), (8, 4), (20, 2), (23, 3.0)], [(0.0, 7.0), (10, 4), (17, 1), (21, 1)], [(0.0, 11.0), (21, 1)], [(0.0, 10.0), (13, 3), (17, 3), (21, 2)], [(0.0, 26.0)]]","[[26.0], [6.0], [7.0], [5.0], [2.0, 5, 2, 10.0], [1.0, 5, 4, 4, 4.0], [2.0, 9, 5, 5.0], [3.0, 4, 1.0], [6.0, 6, 3, 1.0], [5.0, 4, 2, 3.0], [7.0, 4, 1, 1], [11.0, 1], [10.0, 3, 3, 2], [26.0]]","[(0, 0.0, 0.0), (1, 20, 0.7692307692307693), (2, 19, 0.7307692307692307), (3, 21, 0.8076923076923077), (4, 7, 0.2692307692307692), (5, 8, 0.3076923076923077), (6, 5, 0.19230769230769232), (7, 18, 0.6923076923076923), (8, 10, 0.38461538461538464), (9, 12, 0.46153846153846156), (10, 13, 0.5), (11, 14, 0.5384615384615384), (12, 8, 0.3076923076923077), (13, 0.0, 0.0)]","[(1, 20.0, 20.0, 1.0, 0, 20), (2, 19.0, 19.0, 1.0, 0, 19), (3, 21.0, 21.0, 1.0, 0, 21), (4, 7.0, 14.0, 0.5, 2, 16), (5, 8.0, 21.0, 0.38095238095238093, 1, 22), (6, 5.0, 19.0, 0.2631578947368421, 2, 21), (7, 18.0, 22.0, 0.8181818181818182, 3, 25), (8, 10.0, 19.0, 0.5263157894736842, 6, 25), (9, 12.0, 18.0, 0.6666666666666666, 5, 23), (10, 13.0, 19.0, 0.6842105263157895, 7, 26), (11, 14.0, 15.0, 0.9333333333333333, 11, 26), (12, 8.0, 16.0, 0.5, 10, 26)]",155,2,19.187000036239624,0.0
Experiment 3,4 Layers,23.0,"[[(0.0, 23.0)], [(12, 1), (18, 5.0)], [(0.0, 1.0), (17, 6.0)], [(18, 5.0)], [(13, 10.0)], [(13, 10.0)], [(7, 3), (16, 7.0)], [(0.0, 7.0)], [(0.0, 7.0), (17, 1)], [(0.0, 7.0)], [(0.0, 7.0), (19, 4.0)], [(0.0, 8.0), (19, 4.0)], [(0.0, 10.0), (15, 2), (22, 1.0)], [(0.0, 23.0)]]","[[23.0], [1, 5.0], [1.0, 6.0], [5.0], [10.0], [10.0], [3, 7.0], [7.0], [7.0, 1], [7.0], [7.0, 4.0], [8.0, 4.0], [10.0, 2, 1.0], [23.0]]","[(0, 0.0, 0.0), (1, 17, 0.7391304347826086), (2, 16, 0.6956521739130435), (3, 18, 0.782608695652174), (4, 13, 0.5652173913043478), (5, 13, 0.5652173913043478), (6, 13, 0.5652173913043478), (7, 16, 0.6956521739130435), (8, 15, 0.6521739130434783), (9, 16, 0.6956521739130435), (10, 12, 0.5217391304347826), (11, 11, 0.4782608695652174), (12, 10, 0.43478260869565216), (13, 0.0, 0.0)]","[(1, 17.0, 18.0, 0.9444444444444444, 0, 18), (2, 16.0, 16.0, 1.0, 1, 17), (3, 18.0, 18.0, 1.0, 0, 18), (4, 13.0, 13.0, 1.0, 0, 13), (5, 13.0, 13.0, 1.0, 0, 13), (6, 13.0, 16.0, 0.8125, 0, 16), (7, 16.0, 16.0, 1.0, 7, 23), (8, 15.0, 16.0, 0.9375, 7, 23), (9, 16.0, 16.0, 1.0, 7, 23), (10, 12.0, 12.0, 1.0, 7, 19), (11, 11.0, 11.0, 1.0, 8, 19), (12, 10.0, 12.0, 0.8333333333333334, 10, 22)]",170,2,9.087000131607056,0.0
