,experiment,experiment_version,makespan,downtime_over_makespan,downtime_per_machine,usage,total_work_content,status,runtime,gap
0,Experiment 1,3 Layers,10.0,"[[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 10.0)], [(0, 0), (3, 0), (4, 0), (7, 0), (10, 0)], [(0, 0), (2, 0), (3, 0), (4, 0), (6, 0), (7, 0), (8, 0), (10, 0)], [(0, 0), (3, 0), (5, 0), (7, 0), (10, 0)], [(0, 7), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 3), (10, 0), (10, 0), (10, 0), (10, 0), (10, 0), (10, 0), (10, 0), (10, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 0.0, 0.0), (1, 10.0, 1.0), (2, 10.0, 1.0), (3, 10.0, 1.0), (4, 0.0, 0.0)]",30,2,0.11499977111816406,0.0
1,Experiment 1,4 Layers,13.0,"[[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 13.0)], [(0, 0), (3, 0), (4, 0), (7, 0), (10, 3.0)], [(0, 0), (1, 0), (2, 0), (4, 1), (7, 0), (8, 0), (10, 1), (12, 1.0)], [(0, 0), (3, 0), (5, 0), (8, 1), (11, 2.0)], [(0, 2), (3, 0), (6, 1), (10, 0), (13, 0)], [(0, 3), (4, 0), (5, 0), (7, 0), (9, 0), (10, 0), (12, 0), (13, 0)], [(0, 3), (6, 0), (8, 0), (11, 0), (13, 0)], [(0, 13), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.0], [0, 0, 0, 0, 3.0], [0, 0, 0, 1, 0, 0, 1, 1.0], [0, 0, 0, 1, 2.0], [2, 0, 1, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0], [13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 0.0, 0.0), (1, 10.0, 0.7692307692307693), (2, 10.0, 0.7692307692307693), (3, 10.0, 0.7692307692307693), (4, 10.0, 0.7692307692307693), (5, 10.0, 0.7692307692307693), (6, 10.0, 0.7692307692307693), (7, 0.0, 0.0)]",60,2,1.0260000228881836,0.0
2,Experiment 1,5 Layers,16.0,"[[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 16.0)], [(0, 0), (3, 0), (6, 0), (9, 0), (10, 0), (11, 5.0)], [(0, 0), (1, 0), (2, 0), (4, 0), (6, 0), (7, 0), (9, 0), (11, 5.0)], [(0, 0), (2, 0), (5, 1), (9, 7.0)], [(0, 1), (2, 0), (3, 0), (6, 0), (9, 0), (12, 0), (13, 3.0)], [(0, 3), (5, 1), (8, 0), (9, 0), (11, 0), (13, 0), (14, 2.0)], [(0, 4), (6, 0), (9, 0), (12, 4.0)], [(0, 5), (6, 0), (9, 0), (12, 0), (15, 0), (16, 0)], [(0, 3), (4, 1), (7, 1), (10, 0), (11, 0), (13, 0), (15, 0), (16, 0)], [(0, 6), (8, 1), (12, 0), (15, 1.0)], [(0, 15), (15, 0), (15, 0), (15, 0), (15, 0), (15, 0), (15, 0), (15, 0), (15, 0), (15, 0), (15, 0), (15, 1), (16, 0), (16, 0), (16, 0), (16, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.0], [0, 0, 0, 0, 0, 5.0], [0, 0, 0, 0, 0, 0, 0, 5.0], [0, 0, 1, 7.0], [1, 0, 0, 0, 0, 0, 3.0], [3, 1, 0, 0, 0, 0, 2.0], [4, 0, 0, 4.0], [5, 0, 0, 0, 0, 0], [3, 1, 1, 0, 0, 0, 0, 0], [6, 1, 0, 1.0], [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]]","[(0, 0.0, 0.0), (1, 11.0, 0.6875), (2, 11.0, 0.6875), (3, 8.0, 0.5), (4, 12.0, 0.75), (5, 10.0, 0.625), (6, 8.0, 0.5), (7, 11.0, 0.6875), (8, 11.0, 0.6875), (9, 8.0, 0.5), (10, 0.0, 0.0)]",90,9,1800.0410001277924,0.06249999999999989
3,Experiment 2,Duration 1,13.0,"[[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 13.0)], [(0, 0), (3, 0), (4, 0), (7, 0), (10, 3.0)], [(0, 0), (1, 0), (2, 0), (4, 1), (7, 0), (8, 0), (10, 1), (12, 1.0)], [(0, 0), (3, 0), (5, 0), (8, 1), (11, 2.0)], [(0, 2), (3, 0), (6, 1), (10, 0), (13, 0)], [(0, 3), (4, 0), (5, 0), (7, 0), (9, 0), (10, 0), (12, 0), (13, 0)], [(0, 3), (6, 0), (8, 0), (11, 0), (13, 0)], [(0, 13), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.0], [0, 0, 0, 0, 3.0], [0, 0, 0, 1, 0, 0, 1, 1.0], [0, 0, 0, 1, 2.0], [2, 0, 1, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0], [13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 0.0, 0.0), (1, 10.0, 0.7692307692307693), (2, 10.0, 0.7692307692307693), (3, 10.0, 0.7692307692307693), (4, 10.0, 0.7692307692307693), (5, 10.0, 0.7692307692307693), (6, 10.0, 0.7692307692307693), (7, 0.0, 0.0)]",60,2,1.1560001373291016,0.0
4,Experiment 2,Duration 2,19.0,"[[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 19.0)], [(0, 0), (4, 0), (6, 0), (8, 0), (10, 0), (14, 5.0)], [(0, 0), (2, 0), (4, 0), (7, 0), (10, 0), (13, 0), (16, 3.0)], [(0, 0), (4, 0), (8, 0), (11, 0), (15, 4.0)], [(0, 2), (4, 0), (8, 0), (12, 0), (14, 1), (19, 0)], [(0, 4), (6, 0), (8, 0), (10, 0), (13, 0), (16, 0), (19, 0)], [(0, 4), (8, 0), (11, 0), (14, 0), (18, 1.0)], [(0, 17), (17, 0), (17, 0), (17, 0), (17, 0), (17, 0), (17, 0), (17, 0), (17, 0), (17, 0), (17, 0), (17, 0), (17, 2), (19, 0), (19, 0), (19, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19.0], [0, 0, 0, 0, 0, 5.0], [0, 0, 0, 0, 0, 0, 3.0], [0, 0, 0, 0, 4.0], [2, 0, 0, 0, 1, 0], [4, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 1.0], [17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]]","[(0, 0.0, 0.0), (1, 14.0, 0.7368421052631579), (2, 16.0, 0.8421052631578947), (3, 15.0, 0.7894736842105263), (4, 16.0, 0.8421052631578947), (5, 15.0, 0.7894736842105263), (6, 14.0, 0.7368421052631579), (7, 0.0, 0.0)]",90,2,3.4819998741149902,0.0
5,Experiment 2,Duration 3,25.0,"[[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 25.0)], [(0, 0), (5, 0), (10, 0), (15, 1), (19, 0), (22, 3.0)], [(0, 0), (3, 0), (6, 0), (9, 0), (13, 0), (17, 0), (21, 4.0)], [(0, 0), (4, 0), (9, 0), (14, 2), (20, 5.0)], [(0, 3), (6, 0), (9, 0), (14, 0), (19, 0), (22, 0), (25, 0)], [(0, 4), (8, 2), (13, 0), (17, 0), (21, 0), (25, 0)], [(0, 5), (10, 0), (15, 0), (20, 0), (24, 1.0)], [(0, 10), (10, 0), (10, 9), (19, 1), (20, 3), (23, 0), (23, 0), (23, 0), (23, 0), (23, 1), (24, 0), (24, 0), (24, 1), (25, 0), (25, 0), (25, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.0], [0, 0, 0, 1, 0, 3.0], [0, 0, 0, 0, 0, 0, 4.0], [0, 0, 0, 2, 5.0], [3, 0, 0, 0, 0, 0, 0], [4, 2, 0, 0, 0, 0], [5, 0, 0, 0, 1.0], [10, 0, 9, 1, 3, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]]","[(0, 0.0, 0.0), (1, 21.0, 0.84), (2, 21.0, 0.84), (3, 18.0, 0.72), (4, 22.0, 0.88), (5, 19.0, 0.76), (6, 19.0, 0.76), (7, 0.0, 0.0)]",120,2,18.802000045776367,0.0
6,Experiment 2,Duration 4,31.0,"[[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 31.0)], [(0, 0), (4, 0), (10, 0), (14, 0), (18, 0), (22, 0), (26, 5.0)], [(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 6.0)], [(0, 0), (6, 0), (12, 0), (18, 0), (24, 7.0)], [(0, 7), (13, 0), (19, 0), (25, 0), (31, 0)], [(0, 6), (10, 0), (15, 0), (19, 0), (23, 0), (27, 0), (31, 0)], [(0, 5), (10, 0), (16, 0), (21, 0), (26, 0), (31, 0)], [(0, 12), (12, 9), (21, 1), (22, 2), (24, 0), (24, 1), (25, 1), (26, 1), (27, 0), (27, 1), (28, 1), (29, 1), (30, 1), (31, 0), (31, 0), (31, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.0], [0, 0, 0, 0, 0, 0, 5.0], [0, 0, 0, 0, 0, 6.0], [0, 0, 0, 0, 7.0], [7, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0], [12, 9, 1, 2, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]]","[(0, 0.0, 0.0), (1, 26.0, 0.8387096774193549), (2, 25.0, 0.8064516129032258), (3, 24.0, 0.7741935483870968), (4, 24.0, 0.7741935483870968), (5, 25.0, 0.8064516129032258), (6, 26.0, 0.8387096774193549), (7, 0.0, 0.0)]",150,2,48.568000078201294,0.0
7,Experiment 2,Duration 5,38.0,"[[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 38.0)], [(0, 0), (7, 0), (14, 0), (21, 0), (28, 10.0)], [(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (31, 7.0)], [(0, 0), (6, 0), (12, 0), (18, 0), (24, 0), (31, 7.0)], [(0, 7), (14, 0), (21, 0), (28, 0), (35, 3.0)], [(0, 5), (10, 0), (15, 0), (20, 0), (25, 1), (31, 0), (37, 1.0)], [(0, 6), (12, 0), (18, 1), (25, 0), (31, 0), (38, 0)], [(0, 14), (14, 0), (14, 2), (16, 4), (20, 5), (25, 0), (25, 2), (27, 4), (31, 3), (34, 1), (35, 1), (36, 1), (37, 0), (37, 1), (38, 0), (38, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.0], [0, 0, 0, 0, 10.0], [0, 0, 0, 0, 0, 0, 7.0], [0, 0, 0, 0, 0, 7.0], [7, 0, 0, 0, 3.0], [5, 0, 0, 0, 1, 0, 1.0], [6, 0, 1, 0, 0, 0], [14, 0, 2, 4, 5, 0, 2, 4, 3, 1, 1, 1, 0, 1, 0, 0]]","[(0, 0.0, 0.0), (1, 28.0, 0.7368421052631579), (2, 31.0, 0.8157894736842105), (3, 31.0, 0.8157894736842105), (4, 28.0, 0.7368421052631579), (5, 31.0, 0.8157894736842105), (6, 31.0, 0.8157894736842105), (7, 0.0, 0.0)]",180,2,495.654000043869,0.0
8,Experiment 3,No Flexibility,18.0,"[[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 18.0)], [(0, 0), (1, 0), (2, 0), (3, 0), (4, 2), (7, 11.0)], [(0, 0), (2, 0), (4, 0), (6, 0), (8, 0), (10, 8.0)], [(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 3.0)], [(0, 1), (2, 0), (3, 0), (4, 3), (8, 3), (12, 6.0)], [(0, 2), (4, 0), (6, 0), (8, 0), (10, 0), (12, 6.0)], [(0, 3), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0)], [(0, 6), (6, 0), (6, 0), (6, 0), (6, 3), (9, 2), (11, 0), (11, 1), (12, 0), (12, 1), (13, 0), (13, 5), (18, 0), (18, 0), (18, 0), (18, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.0], [0, 0, 0, 0, 2, 11.0], [0, 0, 0, 0, 0, 8.0], [0, 0, 0, 0, 0, 3.0], [1, 0, 0, 3, 3, 6.0], [2, 0, 0, 0, 0, 6.0], [3, 0, 0, 0, 0, 0], [6, 0, 0, 0, 3, 2, 0, 1, 0, 1, 0, 5, 0, 0, 0, 0]]","[(0, 0.0, 0.0), (1, 5.0, 0.2777777777777778), (2, 10.0, 0.5555555555555556), (3, 15.0, 0.8333333333333334), (4, 5.0, 0.2777777777777778), (5, 10.0, 0.5555555555555556), (6, 15.0, 0.8333333333333334), (7, 0.0, 0.0)]",60,2,0.04399991035461426,0.0
9,Experiment 3,Low Flexibility,13.0,"[[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 13.0)], [(0, 0), (3, 0), (4, 0), (7, 0), (10, 3.0)], [(0, 0), (1, 0), (2, 0), (4, 1), (7, 0), (8, 0), (10, 1), (12, 1.0)], [(0, 0), (3, 0), (5, 0), (8, 1), (11, 2.0)], [(0, 2), (3, 0), (6, 1), (10, 0), (13, 0)], [(0, 3), (4, 0), (5, 0), (7, 0), (9, 0), (10, 0), (12, 0), (13, 0)], [(0, 3), (6, 0), (8, 0), (11, 0), (13, 0)], [(0, 13), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0), (13, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.0], [0, 0, 0, 0, 3.0], [0, 0, 0, 1, 0, 0, 1, 1.0], [0, 0, 0, 1, 2.0], [2, 0, 1, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0], [13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 0.0, 0.0), (1, 10.0, 0.7692307692307693), (2, 10.0, 0.7692307692307693), (3, 10.0, 0.7692307692307693), (4, 10.0, 0.7692307692307693), (5, 10.0, 0.7692307692307693), (6, 10.0, 0.7692307692307693), (7, 0.0, 0.0)]",60,2,1.130000114440918,0.0
