,experiment,experiment_version,makespan,downtime_over_makespan,downtime_per_machine,usage,active_usage,total_work_content,status,runtime,gap
0,Experiment 8,4 Layers,12.0,"[[(0.0, 12.0)], [(8, 4.0)], [(9, 3.0)], [(4, 2), (9, 3.0)], [(6, 6.0)], [(6, 6.0)], [(9, 3.0)], [(0.0, 4.0)], [(0.0, 5.0)], [(0.0, 2.0), (4, 2)], [(0.0, 3.0)], [(0.0, 5.0)], [(0.0, 6.0)], [(0.0, 12.0)]]","[[12.0], [4.0], [3.0], [2, 3.0], [6.0], [6.0], [3.0], [4.0], [5.0], [2.0, 2], [3.0], [5.0], [6.0], [12.0]]","[(0, 0.0, 0.0), (1, 8, 0.6666666666666666), (2, 9, 0.75), (3, 7, 0.5833333333333334), (4, 6, 0.5), (5, 6, 0.5), (6, 9, 0.75), (7, 8, 0.6666666666666666), (8, 7, 0.5833333333333334), (9, 8, 0.6666666666666666), (10, 9, 0.75), (11, 7, 0.5833333333333334), (12, 6, 0.5), (13, 0.0, 0.0)]","[(1, 8.0, 8.0, 1.0, 0, 8), (2, 9.0, 9.0, 1.0, 0, 9), (3, 7.0, 9.0, 0.7777777777777778, 0, 9), (4, 6.0, 6.0, 1.0, 0, 6), (5, 6.0, 6.0, 1.0, 0, 6), (6, 9.0, 9.0, 1.0, 0, 9), (7, 8.0, 8.0, 1.0, 4, 12), (8, 7.0, 7.0, 1.0, 5, 12), (9, 8.0, 10.0, 0.8, 2, 12), (10, 9.0, 9.0, 1.0, 3, 12), (11, 7.0, 7.0, 1.0, 5, 12), (12, 6.0, 6.0, 1.0, 6, 12)]",90,2,10.009999990463257,0.0
1,Experiment 8,5 Layers,12.0,"[[(0.0, 12.0)], [(9, 3.0)], [(7, 1), (10, 2.0)], [(8, 4.0)], [(9, 3.0)], [(0.0, 3.0), (5, 2), (11, 1.0)], [(0.0, 2.0), (8, 4.0)], [(0.0, 2.0), (5, 1), (8, 1), (11, 1.0)], [(0.0, 3.0), (7, 1), (10, 2.0)], [(0.0, 5.0)], [(0.0, 4.0)], [(0.0, 4.0)], [(0.0, 5.0)], [(0.0, 12.0)]]","[[12.0], [3.0], [1, 2.0], [4.0], [3.0], [3.0, 2, 1.0], [2.0, 4.0], [2.0, 1, 1, 1.0], [3.0, 1, 2.0], [5.0], [4.0], [4.0], [5.0], [12.0]]","[(0, 0.0, 0.0), (1, 9, 0.75), (2, 9, 0.75), (3, 8, 0.6666666666666666), (4, 9, 0.75), (5, 6, 0.5), (6, 6, 0.5), (7, 7, 0.5833333333333334), (8, 6, 0.5), (9, 7, 0.5833333333333334), (10, 8, 0.6666666666666666), (11, 8, 0.6666666666666666), (12, 7, 0.5833333333333334), (13, 0.0, 0.0)]","[(1, 9.0, 9.0, 1.0, 0, 9), (2, 9.0, 10.0, 0.9, 0, 10), (3, 8.0, 8.0, 1.0, 0, 8), (4, 9.0, 9.0, 1.0, 0, 9), (5, 6.0, 8.0, 0.75, 3, 11), (6, 6.0, 6.0, 1.0, 2, 8), (7, 7.0, 9.0, 0.7777777777777778, 2, 11), (8, 6.0, 7.0, 0.8571428571428571, 3, 10), (9, 7.0, 7.0, 1.0, 5, 12), (10, 8.0, 8.0, 1.0, 4, 12), (11, 8.0, 8.0, 1.0, 4, 12), (12, 7.0, 7.0, 1.0, 5, 12)]",90,2,1.4499998092651367,0.0
2,Experiment 8,6 Layers,13.0,"[[(0.0, 13.0)], [(6, 1), (8, 5.0)], [(9, 4.0)], [(9, 4.0)], [(0.0, 2.0), (5, 1), (9, 4.0)], [(0.0, 2.0), (7, 1), (11, 2.0)], [(0.0, 2.0), (4, 1), (8, 1), (10, 3.0)], [(0.0, 4.0), (12, 1.0)], [(0.0, 3.0), (12, 1.0)], [(0.0, 4.0), (12, 1.0)], [(0.0, 5.0)], [(0.0, 6.0), (8, 1)], [(0.0, 7.0)], [(0.0, 13.0)]]","[[13.0], [1, 5.0], [4.0], [4.0], [2.0, 1, 4.0], [2.0, 1, 2.0], [2.0, 1, 1, 3.0], [4.0, 1.0], [3.0, 1.0], [4.0, 1.0], [5.0], [6.0, 1], [7.0], [13.0]]","[(0, 0.0, 0.0), (1, 7, 0.5384615384615384), (2, 9, 0.6923076923076923), (3, 9, 0.6923076923076923), (4, 6, 0.46153846153846156), (5, 8, 0.6153846153846154), (6, 6, 0.46153846153846156), (7, 8, 0.6153846153846154), (8, 9, 0.6923076923076923), (9, 8, 0.6153846153846154), (10, 8, 0.6153846153846154), (11, 6, 0.46153846153846156), (12, 6, 0.46153846153846156), (13, 0.0, 0.0)]","[(1, 7.0, 8.0, 0.875, 0, 8), (2, 9.0, 9.0, 1.0, 0, 9), (3, 9.0, 9.0, 1.0, 0, 9), (4, 6.0, 7.0, 0.8571428571428571, 2, 9), (5, 8.0, 9.0, 0.8888888888888888, 2, 11), (6, 6.0, 8.0, 0.75, 2, 10), (7, 8.0, 8.0, 1.0, 4, 12), (8, 9.0, 9.0, 1.0, 3, 12), (9, 8.0, 8.0, 1.0, 4, 12), (10, 8.0, 8.0, 1.0, 5, 13), (11, 6.0, 7.0, 0.8571428571428571, 6, 13), (12, 6.0, 6.0, 1.0, 7, 13)]",90,2,10.968999862670898,0.0
