experiment,experiment_version,makespan,downtime_over_makespan,downtime_per_machine,usage,active_usage,total_work_content,status,runtime,gap
Experiment 13,Low Flexibility,24.0,"[[(0.0, 24.0)], [(6, 1), (19, 5.0)], [(19, 5.0)], [(14, 1), (19, 5.0)], [(0.0, 5.0), (11, 1)], [(0.0, 4.0)], [(0.0, 2.0)], [(0.0, 24.0)]]","[[24.0], [1, 5.0], [5.0], [1, 5.0], [5.0, 1], [4.0], [2.0], [24.0]]","[(0, 0.0, 0.0), (1, 18, 0.75), (2, 19, 0.7916666666666666), (3, 18, 0.75), (4, 18, 0.75), (5, 20, 0.8333333333333334), (6, 22, 0.9166666666666666), (7, 0.0, 0.0)]","[(1, 18.0, 19.0, 0.9473684210526315, 0, 19), (2, 19.0, 19.0, 1.0, 0, 19), (3, 18.0, 19.0, 0.9473684210526315, 0, 19), (4, 18.0, 19.0, 0.9473684210526315, 5, 24), (5, 20.0, 20.0, 1.0, 4, 24), (6, 22.0, 22.0, 1.0, 2, 24)]",115,2,5.003000020980835,0.0
Experiment 13,High Flexibility,24.0,"[[(0.0, 24.0)], [(13, 1), (19, 5.0)], [(18, 6.0)], [(19, 5.0)], [(0.0, 2.0), (4, 1)], [(0.0, 4.0), (23, 1.0)], [(0.0, 4.0)], [(0.0, 24.0)]]","[[24.0], [1, 5.0], [6.0], [5.0], [2.0, 1], [4.0, 1.0], [4.0], [24.0]]","[(0, 0.0, 0.0), (1, 18, 0.75), (2, 18, 0.75), (3, 19, 0.7916666666666666), (4, 21, 0.875), (5, 19, 0.7916666666666666), (6, 20, 0.8333333333333334), (7, 0.0, 0.0)]","[(1, 18.0, 19.0, 0.9473684210526315, 0, 19), (2, 18.0, 18.0, 1.0, 0, 18), (3, 19.0, 19.0, 1.0, 0, 19), (4, 21.0, 22.0, 0.9545454545454546, 2, 24), (5, 19.0, 19.0, 1.0, 4, 23), (6, 20.0, 20.0, 1.0, 4, 24)]",115,2,19.22599983215332,0.0
Experiment 14,No Flexibility,30.0,"[[(0.0, 30.0)], [(8, 4), (14, 16.0)], [(10, 20.0)], [(25, 5.0)], [(0.0, 2.0), (22, 8.0)], [(0.0, 2.0), (3, 2), (7, 3), (11, 4), (16, 14.0)], [(0.0, 5.0)], [(0.0, 30.0)]]","[[30.0], [4, 16.0], [20.0], [5.0], [2.0, 8.0], [2.0, 2, 3, 4, 14.0], [5.0], [30.0]]","[(0, 0.0, 0.0), (1, 10, 0.3333333333333333), (2, 10, 0.3333333333333333), (3, 25, 0.8333333333333334), (4, 20, 0.6666666666666666), (5, 5, 0.16666666666666666), (6, 25, 0.8333333333333334), (7, 0.0, 0.0)]","[(1, 10.0, 14.0, 0.7142857142857143, 0, 14), (2, 10.0, 10.0, 1.0, 0, 10), (3, 25.0, 25.0, 1.0, 0, 25), (4, 20.0, 20.0, 1.0, 2, 22), (5, 5.0, 14.0, 0.35714285714285715, 2, 16), (6, 25.0, 25.0, 1.0, 5, 30)]",95,2,0.127000093460083,0.0
Experiment 14,Low Flexibility,20.0,"[[(0.0, 20.0)], [(9, 1), (15, 5.0)], [(6, 1), (15, 5.0)], [(15, 1), (18, 2.0)], [(0.0, 2.0)], [(0.0, 2.0), (19, 1.0)], [(0.0, 5.0)], [(0.0, 20.0)]]","[[20.0], [1, 5.0], [1, 5.0], [1, 2.0], [2.0], [2.0, 1.0], [5.0], [20.0]]","[(0, 0.0, 0.0), (1, 14, 0.7), (2, 14, 0.7), (3, 17, 0.85), (4, 18, 0.9), (5, 17, 0.85), (6, 15, 0.75), (7, 0.0, 0.0)]","[(1, 14.0, 15.0, 0.9333333333333333, 0, 15), (2, 14.0, 15.0, 0.9333333333333333, 0, 15), (3, 17.0, 18.0, 0.9444444444444444, 0, 18), (4, 18.0, 18.0, 1.0, 2, 20), (5, 17.0, 17.0, 1.0, 2, 19), (6, 15.0, 15.0, 1.0, 5, 20)]",95,2,2.6499998569488525,0.0
Experiment 14,High Flexibility,19.0,"[[(0.0, 19.0)], [(13, 2), (17, 2.0)], [(14, 5.0)], [(14, 1), (17, 2.0)], [(0.0, 2.0)], [(0.0, 2.0)], [(0.0, 3.0)], [(0.0, 19.0)]]","[[19.0], [2, 2.0], [5.0], [1, 2.0], [2.0], [2.0], [3.0], [19.0]]","[(0, 0.0, 0.0), (1, 15, 0.7894736842105263), (2, 14, 0.7368421052631579), (3, 16, 0.8421052631578947), (4, 17, 0.8947368421052632), (5, 17, 0.8947368421052632), (6, 16, 0.8421052631578947), (7, 0.0, 0.0)]","[(1, 15.0, 17.0, 0.8823529411764706, 0, 17), (2, 14.0, 14.0, 1.0, 0, 14), (3, 16.0, 17.0, 0.9411764705882353, 0, 17), (4, 17.0, 17.0, 1.0, 2, 19), (5, 17.0, 17.0, 1.0, 2, 19), (6, 16.0, 16.0, 1.0, 3, 19)]",95,2,101.83800005912781,0.0
Experiment 15,No Flexibility,30.0,"[[(0.0, 30.0)], [(3, 2), (6, 2), (9, 21.0)], [(25, 5.0)], [(25, 5.0)], [(0.0, 1.0), (17, 4), (25, 5.0)], [(0.0, 7.0), (13, 4), (23, 2), (28, 2.0)], [(0.0, 5.0)], [(0.0, 30.0)]]","[[30.0], [2, 2, 21.0], [5.0], [5.0], [1.0, 4, 5.0], [7.0, 4, 2, 2.0], [5.0], [30.0]]","[(0, 0.0, 0.0), (1, 5, 0.16666666666666666), (2, 25, 0.8333333333333334), (3, 25, 0.8333333333333334), (4, 20, 0.6666666666666666), (5, 15, 0.5), (6, 25, 0.8333333333333334), (7, 0.0, 0.0)]","[(1, 5.0, 9.0, 0.5555555555555556, 0, 9), (2, 25.0, 25.0, 1.0, 0, 25), (3, 25.0, 25.0, 1.0, 0, 25), (4, 20.0, 24.0, 0.8333333333333334, 1, 25), (5, 15.0, 21.0, 0.7142857142857143, 7, 28), (6, 25.0, 25.0, 1.0, 5, 30)]",115,2,0.14800000190734863,0.0
Experiment 15,Low Flexibility,23.0,"[[(0.0, 23.0)], [(18, 5.0)], [(17, 6.0)], [(20, 3.0)], [(0.0, 1.0)], [(0.0, 1.0), (5, 1), (10, 1)], [(0.0, 5.0)], [(0.0, 23.0)]]","[[23.0], [5.0], [6.0], [3.0], [1.0], [1.0, 1, 1], [5.0], [23.0]]","[(0, 0.0, 0.0), (1, 18, 0.782608695652174), (2, 17, 0.7391304347826086), (3, 20, 0.8695652173913043), (4, 22, 0.9565217391304348), (5, 20, 0.8695652173913043), (6, 18, 0.782608695652174), (7, 0.0, 0.0)]","[(1, 18.0, 18.0, 1.0, 0, 18), (2, 17.0, 17.0, 1.0, 0, 17), (3, 20.0, 20.0, 1.0, 0, 20), (4, 22.0, 22.0, 1.0, 1, 23), (5, 20.0, 22.0, 0.9090909090909091, 1, 23), (6, 18.0, 18.0, 1.0, 5, 23)]",115,2,4.501999855041504,0.0
Experiment 15,High Flexibility,23.0,"[[(0.0, 23.0)], [(17, 6.0)], [(20, 3.0)], [(18, 5.0)], [(0.0, 1.0), (20, 3.0)], [(0.0, 2.0)], [(0.0, 1.0), (21, 2.0)], [(0.0, 23.0)]]","[[23.0], [6.0], [3.0], [5.0], [1.0, 3.0], [2.0], [1.0, 2.0], [23.0]]","[(0, 0.0, 0.0), (1, 17, 0.7391304347826086), (2, 20, 0.8695652173913043), (3, 18, 0.782608695652174), (4, 19, 0.8260869565217391), (5, 21, 0.9130434782608695), (6, 20, 0.8695652173913043), (7, 0.0, 0.0)]","[(1, 17.0, 17.0, 1.0, 0, 17), (2, 20.0, 20.0, 1.0, 0, 20), (3, 18.0, 18.0, 1.0, 0, 18), (4, 19.0, 19.0, 1.0, 1, 20), (5, 21.0, 21.0, 1.0, 2, 23), (6, 20.0, 20.0, 1.0, 1, 21)]",115,2,106.69700002670288,0.0
Experiment 16,No Flexibility,28.0,"[[(0.0, 28.0)], [(15, 13.0)], [(12, 3), (18, 10.0)], [(25, 3.0)], [(0.0, 6.0), (8, 1), (13, 1), (16, 4), (22, 6.0)], [(0.0, 3.0)], [(0.0, 11.0), (15, 1), (18, 3), (23, 3)], [(0.0, 28.0)]]","[[28.0], [13.0], [3, 10.0], [3.0], [6.0, 1, 1, 4, 6.0], [3.0], [11.0, 1, 3, 3], [28.0]]","[(0, 0.0, 0.0), (1, 15, 0.5357142857142857), (2, 15, 0.5357142857142857), (3, 25, 0.8928571428571429), (4, 10, 0.35714285714285715), (5, 25, 0.8928571428571429), (6, 10, 0.35714285714285715), (7, 0.0, 0.0)]","[(1, 15.0, 15.0, 1.0, 0, 15), (2, 15.0, 18.0, 0.8333333333333334, 0, 18), (3, 25.0, 25.0, 1.0, 0, 25), (4, 10.0, 16.0, 0.625, 6, 22), (5, 25.0, 25.0, 1.0, 3, 28), (6, 10.0, 17.0, 0.5882352941176471, 11, 28)]",100,2,0.1510000228881836,0.0
Experiment 16,Low Flexibility,21.0,"[[(0.0, 21.0)], [(19, 2.0)], [(18, 3.0)], [(18, 3.0)], [(0.0, 8.0), (10, 1)], [(0.0, 4.0), (20, 1.0)], [(0.0, 3.0), (20, 1.0)], [(0.0, 21.0)]]","[[21.0], [2.0], [3.0], [3.0], [8.0, 1], [4.0, 1.0], [3.0, 1.0], [21.0]]","[(0, 0.0, 0.0), (1, 19, 0.9047619047619048), (2, 18, 0.8571428571428571), (3, 18, 0.8571428571428571), (4, 12, 0.5714285714285714), (5, 16, 0.7619047619047619), (6, 17, 0.8095238095238095), (7, 0.0, 0.0)]","[(1, 19.0, 19.0, 1.0, 0, 19), (2, 18.0, 18.0, 1.0, 0, 18), (3, 18.0, 18.0, 1.0, 0, 18), (4, 12.0, 13.0, 0.9230769230769231, 8, 21), (5, 16.0, 16.0, 1.0, 4, 20), (6, 17.0, 17.0, 1.0, 3, 20)]",100,2,4.263999938964844,0.0
Experiment 16,High Flexibility,21.0,"[[(0.0, 21.0)], [(17, 4.0)], [(19, 2.0)], [(19, 2.0)], [(0.0, 4.0), (11, 1)], [(0.0, 6.0), (11, 1)], [(0.0, 4.0), (13, 2)], [(0.0, 21.0)]]","[[21.0], [4.0], [2.0], [2.0], [4.0, 1], [6.0, 1], [4.0, 2], [21.0]]","[(0, 0.0, 0.0), (1, 17, 0.8095238095238095), (2, 19, 0.9047619047619048), (3, 19, 0.9047619047619048), (4, 16, 0.7619047619047619), (5, 14, 0.6666666666666666), (6, 15, 0.7142857142857143), (7, 0.0, 0.0)]","[(1, 17.0, 17.0, 1.0, 0, 17), (2, 19.0, 19.0, 1.0, 0, 19), (3, 19.0, 19.0, 1.0, 0, 19), (4, 16.0, 17.0, 0.9411764705882353, 4, 21), (5, 14.0, 15.0, 0.9333333333333333, 6, 21), (6, 15.0, 17.0, 0.8823529411764706, 4, 21)]",100,2,11.795000076293945,0.0
Experiment 17,No Flexibility,29.0,"[[(0.0, 29.0)], [(20, 9.0)], [(8, 1), (21, 8.0)], [(20, 9.0)], [(0.0, 4.0), (7, 4), (20, 1), (24, 5.0)], [(0.0, 4.0)], [(0.0, 8.0), (9, 1), (11, 3), (15, 2), (18, 2), (21, 8.0)], [(0.0, 29.0)]]","[[29.0], [9.0], [1, 8.0], [9.0], [4.0, 4, 1, 5.0], [4.0], [8.0, 1, 3, 2, 2, 8.0], [29.0]]","[(0, 0.0, 0.0), (1, 20, 0.6896551724137931), (2, 20, 0.6896551724137931), (3, 20, 0.6896551724137931), (4, 15, 0.5172413793103449), (5, 25, 0.8620689655172413), (6, 5, 0.1724137931034483), (7, 0.0, 0.0)]","[(1, 20.0, 20.0, 1.0, 0, 20), (2, 20.0, 21.0, 0.9523809523809523, 0, 21), (3, 20.0, 20.0, 1.0, 0, 20), (4, 15.0, 20.0, 0.75, 4, 24), (5, 25.0, 25.0, 1.0, 4, 29), (6, 5.0, 13.0, 0.38461538461538464, 8, 21)]",105,2,0.20300006866455078,0.0
Experiment 17,Low Flexibility,23.0,"[[(0.0, 23.0)], [(20, 3.0)], [(20, 3.0)], [(20, 3.0)], [(0.0, 8.0), (17, 3)], [(0.0, 4.0), (9, 1), (15, 1), (19, 1)], [(0.0, 4.0), (14, 1), (21, 1)], [(0.0, 23.0)]]","[[23.0], [3.0], [3.0], [3.0], [8.0, 3], [4.0, 1, 1, 1], [4.0, 1, 1], [23.0]]","[(0, 0.0, 0.0), (1, 20, 0.8695652173913043), (2, 20, 0.8695652173913043), (3, 20, 0.8695652173913043), (4, 12, 0.5217391304347826), (5, 16, 0.6956521739130435), (6, 17, 0.7391304347826086), (7, 0.0, 0.0)]","[(1, 20.0, 20.0, 1.0, 0, 20), (2, 20.0, 20.0, 1.0, 0, 20), (3, 20.0, 20.0, 1.0, 0, 20), (4, 12.0, 15.0, 0.8, 8, 23), (5, 16.0, 19.0, 0.8421052631578947, 4, 23), (6, 17.0, 19.0, 0.8947368421052632, 4, 23)]",105,2,2.26200008392334,0.0
Experiment 17,High Flexibility,21.0,"[[(0.0, 21.0)], [(20, 1.0)], [(20, 1.0)], [(20, 1.0)], [(0.0, 6.0), (14, 2)], [(0.0, 4.0), (9, 1)], [(0.0, 4.0), (7, 1)], [(0.0, 21.0)]]","[[21.0], [1.0], [1.0], [1.0], [6.0, 2], [4.0, 1], [4.0, 1], [21.0]]","[(0, 0.0, 0.0), (1, 20, 0.9523809523809523), (2, 20, 0.9523809523809523), (3, 20, 0.9523809523809523), (4, 13, 0.6190476190476191), (5, 16, 0.7619047619047619), (6, 16, 0.7619047619047619), (7, 0.0, 0.0)]","[(1, 20.0, 20.0, 1.0, 0, 20), (2, 20.0, 20.0, 1.0, 0, 20), (3, 20.0, 20.0, 1.0, 0, 20), (4, 13.0, 15.0, 0.8666666666666667, 6, 21), (5, 16.0, 17.0, 0.9411764705882353, 4, 21), (6, 16.0, 17.0, 0.9411764705882353, 4, 21)]",105,2,8.796000003814697,0.0
Experiment 18,No Flexibility,26.0,"[[(0.0, 26.0)], [(2, 1), (6, 20.0)], [(10, 16.0)], [(25, 1.0)], [(0.0, 3.0), (5, 1), (12, 1), (15, 11.0)], [(0.0, 4.0), (5, 2), (8, 2), (11, 1), (13, 2), (16, 10.0)], [(0.0, 7.0), (8, 4), (13, 2), (16, 5), (22, 3)], [(0.0, 26.0)]]","[[26.0], [1, 20.0], [16.0], [1.0], [3.0, 1, 1, 11.0], [4.0, 2, 2, 1, 2, 10.0], [7.0, 4, 2, 5, 3], [26.0]]","[(0, 0.0, 0.0), (1, 5, 0.19230769230769232), (2, 10, 0.38461538461538464), (3, 25, 0.9615384615384616), (4, 10, 0.38461538461538464), (5, 5, 0.19230769230769232), (6, 5, 0.19230769230769232), (7, 0.0, 0.0)]","[(1, 5.0, 6.0, 0.8333333333333334, 0, 6), (2, 10.0, 10.0, 1.0, 0, 10), (3, 25.0, 25.0, 1.0, 0, 25), (4, 10.0, 12.0, 0.8333333333333334, 3, 15), (5, 5.0, 12.0, 0.4166666666666667, 4, 16), (6, 5.0, 19.0, 0.2631578947368421, 7, 26)]",60,2,0.09500002861022949,0.0
Experiment 18,Low Flexibility,16.0,"[[(0.0, 16.0)], [(0.0, 3.0), (4, 1), (15, 1.0)], [(10, 1), (15, 1.0)], [(15, 1.0)], [(0.0, 3.0), (7, 2), (12, 3)], [(0.0, 3.0), (5, 3), (10, 1), (12, 1), (14, 1)], [(0.0, 7.0), (8, 2), (11, 1), (14, 1)], [(0.0, 16.0)]]","[[16.0], [3.0, 1, 1.0], [1, 1.0], [1.0], [3.0, 2, 3], [3.0, 3, 1, 1, 1], [7.0, 2, 1, 1], [16.0]]","[(0, 0.0, 0.0), (1, 11, 0.6875), (2, 14, 0.875), (3, 15, 0.9375), (4, 8, 0.5), (5, 7, 0.4375), (6, 5, 0.3125), (7, 0.0, 0.0)]","[(1, 11.0, 12.0, 0.9166666666666666, 3, 15), (2, 14.0, 15.0, 0.9333333333333333, 0, 15), (3, 15.0, 15.0, 1.0, 0, 15), (4, 8.0, 13.0, 0.6153846153846154, 3, 16), (5, 7.0, 13.0, 0.5384615384615384, 3, 16), (6, 5.0, 9.0, 0.5555555555555556, 7, 16)]",60,2,0.49899983406066895,0.0
Experiment 18,High Flexibility,15.0,"[[(0.0, 15.0)], [(14, 1.0)], [(13, 2.0)], [(13, 2.0)], [(0.0, 6.0), (11, 1), (13, 1)], [(0.0, 3.0), (4, 1), (7, 1), (9, 1), (11, 1)], [(0.0, 8.0), (12, 2)], [(0.0, 15.0)]]","[[15.0], [1.0], [2.0], [2.0], [6.0, 1, 1], [3.0, 1, 1, 1, 1], [8.0, 2], [15.0]]","[(0, 0.0, 0.0), (1, 14, 0.9333333333333333), (2, 13, 0.8666666666666667), (3, 13, 0.8666666666666667), (4, 7, 0.4666666666666667), (5, 8, 0.5333333333333333), (6, 5, 0.3333333333333333), (7, 0.0, 0.0)]","[(1, 14.0, 14.0, 1.0, 0, 14), (2, 13.0, 13.0, 1.0, 0, 13), (3, 13.0, 13.0, 1.0, 0, 13), (4, 7.0, 9.0, 0.7777777777777778, 6, 15), (5, 8.0, 12.0, 0.6666666666666666, 3, 15), (6, 5.0, 7.0, 0.7142857142857143, 8, 15)]",60,2,3.7990000247955322,0.0
Experiment 19,No Flexibility,24.0,"[[(0.0, 24.0)], [(15, 9.0)], [(20, 4.0)], [(15, 9.0)], [(0.0, 6.0), (8, 1), (17, 7.0)], [(0.0, 4.0)], [(0.0, 3.0), (23, 1.0)], [(0.0, 24.0)]]","[[24.0], [9.0], [4.0], [9.0], [6.0, 1, 7.0], [4.0], [3.0, 1.0], [24.0]]","[(0, 0.0, 0.0), (1, 15, 0.625), (2, 20, 0.8333333333333334), (3, 15, 0.625), (4, 10, 0.4166666666666667), (5, 20, 0.8333333333333334), (6, 20, 0.8333333333333334), (7, 0.0, 0.0)]","[(1, 15.0, 15.0, 1.0, 0, 15), (2, 20.0, 20.0, 1.0, 0, 20), (3, 15.0, 15.0, 1.0, 0, 15), (4, 10.0, 11.0, 0.9090909090909091, 6, 17), (5, 20.0, 20.0, 1.0, 4, 24), (6, 20.0, 20.0, 1.0, 3, 23)]",100,2,0.13400006294250488,0.0
Experiment 19,Low Flexibility,21.0,"[[(0.0, 21.0)], [(18, 3.0)], [(12, 1), (16, 5.0)], [(17, 4.0)], [(0.0, 3.0)], [(0.0, 5.0)], [(0.0, 4.0), (16, 1)], [(0.0, 21.0)]]","[[21.0], [3.0], [1, 5.0], [4.0], [3.0], [5.0], [4.0, 1], [21.0]]","[(0, 0.0, 0.0), (1, 18, 0.8571428571428571), (2, 15, 0.7142857142857143), (3, 17, 0.8095238095238095), (4, 18, 0.8571428571428571), (5, 16, 0.7619047619047619), (6, 16, 0.7619047619047619), (7, 0.0, 0.0)]","[(1, 18.0, 18.0, 1.0, 0, 18), (2, 15.0, 16.0, 0.9375, 0, 16), (3, 17.0, 17.0, 1.0, 0, 17), (4, 18.0, 18.0, 1.0, 3, 21), (5, 16.0, 16.0, 1.0, 5, 21), (6, 16.0, 17.0, 0.9411764705882353, 4, 21)]",100,2,4.980000019073486,0.0
Experiment 19,High Flexibility,21.0,"[[(0.0, 21.0)], [(17, 4.0)], [(14, 2), (19, 2.0)], [(16, 5.0)], [(0.0, 3.0), (7, 2)], [(0.0, 3.0), (7, 2)], [(0.0, 3.0)], [(0.0, 21.0)]]","[[21.0], [4.0], [2, 2.0], [5.0], [3.0, 2], [3.0, 2], [3.0], [21.0]]","[(0, 0.0, 0.0), (1, 17, 0.8095238095238095), (2, 17, 0.8095238095238095), (3, 16, 0.7619047619047619), (4, 16, 0.7619047619047619), (5, 16, 0.7619047619047619), (6, 18, 0.8571428571428571), (7, 0.0, 0.0)]","[(1, 17.0, 17.0, 1.0, 0, 17), (2, 17.0, 19.0, 0.8947368421052632, 0, 19), (3, 16.0, 16.0, 1.0, 0, 16), (4, 16.0, 18.0, 0.8888888888888888, 3, 21), (5, 16.0, 18.0, 0.8888888888888888, 3, 21), (6, 18.0, 18.0, 1.0, 3, 21)]",100,2,40.63599991798401,0.0
Experiment 20,No Flexibility,29.0,"[[(0.0, 29.0)], [(15, 14.0)], [(15, 14.0)], [(25, 4.0)], [(0.0, 3.0), (19, 3), (26, 3.0)], [(0.0, 3.0), (19, 3), (26, 3.0)], [(0.0, 5.0), (9, 1), (14, 1), (19, 2)], [(0.0, 29.0)]]","[[29.0], [14.0], [14.0], [4.0], [3.0, 3, 3.0], [3.0, 3, 3.0], [5.0, 1, 1, 2], [29.0]]","[(0, 0.0, 0.0), (1, 15, 0.5172413793103449), (2, 15, 0.5172413793103449), (3, 25, 0.8620689655172413), (4, 20, 0.6896551724137931), (5, 20, 0.6896551724137931), (6, 20, 0.6896551724137931), (7, 0.0, 0.0)]","[(1, 15.0, 15.0, 1.0, 0, 15), (2, 15.0, 15.0, 1.0, 0, 15), (3, 25.0, 25.0, 1.0, 0, 25), (4, 20.0, 23.0, 0.8695652173913043, 3, 26), (5, 20.0, 23.0, 0.8695652173913043, 3, 26), (6, 20.0, 24.0, 0.8333333333333334, 5, 29)]",115,2,0.21199989318847656,0.0
Experiment 20,Low Flexibility,24.0,"[[(0.0, 24.0)], [(13, 1), (19, 5.0)], [(15, 1), (19, 5.0)], [(9, 1), (20, 4.0)], [(0.0, 3.0), (7, 1)], [(0.0, 3.0), (23, 1.0)], [(0.0, 3.0), (23, 1.0)], [(0.0, 24.0)]]","[[24.0], [1, 5.0], [1, 5.0], [1, 4.0], [3.0, 1], [3.0, 1.0], [3.0, 1.0], [24.0]]","[(0, 0.0, 0.0), (1, 18, 0.75), (2, 18, 0.75), (3, 19, 0.7916666666666666), (4, 20, 0.8333333333333334), (5, 20, 0.8333333333333334), (6, 20, 0.8333333333333334), (7, 0.0, 0.0)]","[(1, 18.0, 19.0, 0.9473684210526315, 0, 19), (2, 18.0, 19.0, 0.9473684210526315, 0, 19), (3, 19.0, 20.0, 0.95, 0, 20), (4, 20.0, 21.0, 0.9523809523809523, 3, 24), (5, 20.0, 20.0, 1.0, 3, 23), (6, 20.0, 20.0, 1.0, 3, 23)]",115,2,5.018999814987183,0.0
Experiment 20,High Flexibility,23.0,"[[(0.0, 23.0)], [(19, 4.0)], [(19, 4.0)], [(14, 2), (19, 4.0)], [(0.0, 3.0)], [(0.0, 3.0)], [(0.0, 3.0)], [(0.0, 23.0)]]","[[23.0], [4.0], [4.0], [2, 4.0], [3.0], [3.0], [3.0], [23.0]]","[(0, 0.0, 0.0), (1, 19, 0.8260869565217391), (2, 19, 0.8260869565217391), (3, 17, 0.7391304347826086), (4, 20, 0.8695652173913043), (5, 20, 0.8695652173913043), (6, 20, 0.8695652173913043), (7, 0.0, 0.0)]","[(1, 19.0, 19.0, 1.0, 0, 19), (2, 19.0, 19.0, 1.0, 0, 19), (3, 17.0, 19.0, 0.8947368421052632, 0, 19), (4, 20.0, 20.0, 1.0, 3, 23), (5, 20.0, 20.0, 1.0, 3, 23), (6, 20.0, 20.0, 1.0, 3, 23)]",115,2,19.634000062942505,0.0
Experiment 21,No Flexibility,30.0,"[[(0.0, 30.0)], [(12, 3), (18, 12.0)], [(25, 5.0)], [(15, 4), (29, 1.0)], [(0.0, 6.0), (12, 2), (17, 2), (22, 4), (29, 1.0)], [(0.0, 5.0)], [(0.0, 6.0), (7, 6), (14, 5), (20, 6), (27, 2)], [(0.0, 30.0)]]","[[30.0], [3, 12.0], [5.0], [4, 1.0], [6.0, 2, 2, 4, 1.0], [5.0], [6.0, 6, 5, 6, 2], [30.0]]","[(0, 0.0, 0.0), (1, 15, 0.5), (2, 25, 0.8333333333333334), (3, 25, 0.8333333333333334), (4, 15, 0.5), (5, 25, 0.8333333333333334), (6, 5, 0.16666666666666666), (7, 0.0, 0.0)]","[(1, 15.0, 18.0, 0.8333333333333334, 0, 18), (2, 25.0, 25.0, 1.0, 0, 25), (3, 25.0, 29.0, 0.8620689655172413, 0, 29), (4, 15.0, 23.0, 0.6521739130434783, 6, 29), (5, 25.0, 25.0, 1.0, 5, 30), (6, 5.0, 24.0, 0.20833333333333334, 6, 30)]",110,2,0.21300005912780762,0.0
Experiment 21,Low Flexibility,25.0,"[[(0.0, 25.0)], [(23, 2.0)], [(22, 3.0)], [(10, 4), (24, 1.0)], [(0.0, 7.0), (13, 5), (19, 1)], [(0.0, 8.0), (13, 1)], [(0.0, 7.0), (12, 1)], [(0.0, 25.0)]]","[[25.0], [2.0], [3.0], [4, 1.0], [7.0, 5, 1], [8.0, 1], [7.0, 1], [25.0]]","[(0, 0.0, 0.0), (1, 23, 0.92), (2, 22, 0.88), (3, 20, 0.8), (4, 12, 0.48), (5, 16, 0.64), (6, 17, 0.68), (7, 0.0, 0.0)]","[(1, 23.0, 23.0, 1.0, 0, 23), (2, 22.0, 22.0, 1.0, 0, 22), (3, 20.0, 24.0, 0.8333333333333334, 0, 24), (4, 12.0, 18.0, 0.6666666666666666, 7, 25), (5, 16.0, 17.0, 0.9411764705882353, 8, 25), (6, 17.0, 18.0, 0.9444444444444444, 7, 25)]",110,2,3.930999994277954,0.0
Experiment 21,High Flexibility,24.0,"[[(0.0, 24.0)], [(23, 1.0)], [(21, 3.0)], [(21, 3.0)], [(0.0, 3.0), (11, 2)], [(0.0, 3.0), (6, 2), (9, 4)], [(0.0, 8.0), (13, 3), (19, 2)], [(0.0, 24.0)]]","[[24.0], [1.0], [3.0], [3.0], [3.0, 2], [3.0, 2, 4], [8.0, 3, 2], [24.0]]","[(0, 0.0, 0.0), (1, 23, 0.9583333333333334), (2, 21, 0.875), (3, 21, 0.875), (4, 19, 0.7916666666666666), (5, 15, 0.625), (6, 11, 0.4583333333333333), (7, 0.0, 0.0)]","[(1, 23.0, 23.0, 1.0, 0, 23), (2, 21.0, 21.0, 1.0, 0, 21), (3, 21.0, 21.0, 1.0, 0, 21), (4, 19.0, 21.0, 0.9047619047619048, 3, 24), (5, 15.0, 21.0, 0.7142857142857143, 3, 24), (6, 11.0, 16.0, 0.6875, 8, 24)]",110,2,16.442000150680542,0.0
Experiment 22,No Flexibility,28.0,"[[(0.0, 28.0)], [(12, 3), (18, 10.0)], [(25, 3.0)], [(8, 4), (14, 14.0)], [(0.0, 3.0)], [(0.0, 10.0), (16, 2), (24, 1)], [(0.0, 2.0), (3, 2), (7, 7), (15, 1), (17, 11.0)], [(0.0, 28.0)]]","[[28.0], [3, 10.0], [3.0], [4, 14.0], [3.0], [10.0, 2, 1], [2.0, 2, 7, 1, 11.0], [28.0]]","[(0, 0.0, 0.0), (1, 15, 0.5357142857142857), (2, 25, 0.8928571428571429), (3, 10, 0.35714285714285715), (4, 25, 0.8928571428571429), (5, 15, 0.5357142857142857), (6, 5, 0.17857142857142858), (7, 0.0, 0.0)]","[(1, 15.0, 18.0, 0.8333333333333334, 0, 18), (2, 25.0, 25.0, 1.0, 0, 25), (3, 10.0, 14.0, 0.7142857142857143, 0, 14), (4, 25.0, 25.0, 1.0, 3, 28), (5, 15.0, 18.0, 0.8333333333333334, 10, 28), (6, 5.0, 15.0, 0.3333333333333333, 2, 17)]",95,2,0.2200000286102295,0.0
