experiment,experiment_version,makespan,downtime_over_makespan,downtime_per_machine,usage,active_usage,total_work_content,status,runtime,gap
Experiment 10,No Flexibility,29.0,"[[(0.0, 29.0)], [(25, 4.0)], [(4, 1), (9, 2), (13, 16.0)], [(9, 1), (16, 13.0)], [(0.0, 9.0)], [(0.0, 6.0), (12, 1), (19, 7)], [(0.0, 3.0), (12, 1), (16, 2), (21, 8.0)], [(0.0, 29.0)]]","[[29.0], [4.0], [1, 2, 16.0], [1, 13.0], [9.0], [6.0, 1, 7], [3.0, 1, 2, 8.0], [29.0]]","[(0, 0.0, 0.0), (1, 25, 0.8620689655172413), (2, 10, 0.3448275862068966), (3, 15, 0.5172413793103449), (4, 20, 0.6896551724137931), (5, 15, 0.5172413793103449), (6, 15, 0.5172413793103449), (7, 0.0, 0.0)]","[(1, 25.0, 25.0, 1.0, 0, 25), (2, 10.0, 13.0, 0.7692307692307693, 0, 13), (3, 15.0, 16.0, 0.9375, 0, 16), (4, 20.0, 20.0, 1.0, 9, 29), (5, 15.0, 23.0, 0.6521739130434783, 6, 29), (6, 15.0, 18.0, 0.8333333333333334, 3, 21)]",100,2,0.2840001583099365,0.0
Experiment 10,Low Flexibility,21.0,"[[(0.0, 21.0)], [(16, 5.0)], [(17, 4.0)], [(17, 4.0)], [(0.0, 5.0), (20, 1.0)], [(0.0, 4.0)], [(0.0, 2.0), (20, 1.0)], [(0.0, 21.0)]]","[[21.0], [5.0], [4.0], [4.0], [5.0, 1.0], [4.0], [2.0, 1.0], [21.0]]","[(0, 0.0, 0.0), (1, 16, 0.7619047619047619), (2, 17, 0.8095238095238095), (3, 17, 0.8095238095238095), (4, 15, 0.7142857142857143), (5, 17, 0.8095238095238095), (6, 18, 0.8571428571428571), (7, 0.0, 0.0)]","[(1, 16.0, 16.0, 1.0, 0, 16), (2, 17.0, 17.0, 1.0, 0, 17), (3, 17.0, 17.0, 1.0, 0, 17), (4, 15.0, 15.0, 1.0, 5, 20), (5, 17.0, 17.0, 1.0, 4, 21), (6, 18.0, 18.0, 1.0, 2, 20)]",100,2,6.306999921798706,0.0
Experiment 10,High Flexibility,21.0,"[[(0.0, 21.0)], [(17, 4.0)], [(11, 1), (17, 4.0)], [(17, 4.0)], [(0.0, 5.0)], [(0.0, 6.0)], [(0.0, 2.0)], [(0.0, 21.0)]]","[[21.0], [4.0], [1, 4.0], [4.0], [5.0], [6.0], [2.0], [21.0]]","[(0, 0.0, 0.0), (1, 17, 0.8095238095238095), (2, 16, 0.7619047619047619), (3, 17, 0.8095238095238095), (4, 16, 0.7619047619047619), (5, 15, 0.7142857142857143), (6, 19, 0.9047619047619048), (7, 0.0, 0.0)]","[(1, 17.0, 17.0, 1.0, 0, 17), (2, 16.0, 17.0, 0.9411764705882353, 0, 17), (3, 17.0, 17.0, 1.0, 0, 17), (4, 16.0, 16.0, 1.0, 5, 21), (5, 15.0, 15.0, 1.0, 6, 21), (6, 19.0, 19.0, 1.0, 2, 21)]",100,2,32.64300012588501,0.0
Experiment 11,No Flexibility,27.0,"[[(0.0, 27.0)], [(20, 7.0)], [(20, 7.0)], [(25, 2.0)], [(0.0, 6.0), (7, 3), (11, 1), (13, 3), (17, 3), (21, 6.0)], [(0.0, 4.0), (24, 3.0)], [(0.0, 11.0), (13, 2), (19, 1), (22, 3)], [(0.0, 27.0)]]","[[27.0], [7.0], [7.0], [2.0], [6.0, 3, 1, 3, 3, 6.0], [4.0, 3.0], [11.0, 2, 1, 3], [27.0]]","[(0, 0.0, 0.0), (1, 20, 0.7407407407407407), (2, 20, 0.7407407407407407), (3, 25, 0.9259259259259259), (4, 5, 0.18518518518518517), (5, 20, 0.7407407407407407), (6, 10, 0.37037037037037035), (7, 0.0, 0.0)]","[(1, 20.0, 20.0, 1.0, 0, 20), (2, 20.0, 20.0, 1.0, 0, 20), (3, 25.0, 25.0, 1.0, 0, 25), (4, 5.0, 15.0, 0.3333333333333333, 6, 21), (5, 20.0, 20.0, 1.0, 4, 24), (6, 10.0, 16.0, 0.625, 11, 27)]",100,2,0.2109999656677246,0.0
Experiment 11,Low Flexibility,24.0,"[[(0.0, 24.0)], [(23, 1.0)], [(20, 4.0)], [(22, 2.0)], [(0.0, 13.0), (16, 1)], [(0.0, 8.0), (21, 1)], [(0.0, 4.0), (8, 1), (15, 9.0)], [(0.0, 24.0)]]","[[24.0], [1.0], [4.0], [2.0], [13.0, 1], [8.0, 1], [4.0, 1, 9.0], [24.0]]","[(0, 0.0, 0.0), (1, 23, 0.9583333333333334), (2, 20, 0.8333333333333334), (3, 22, 0.9166666666666666), (4, 10, 0.4166666666666667), (5, 15, 0.625), (6, 10, 0.4166666666666667), (7, 0.0, 0.0)]","[(1, 23.0, 23.0, 1.0, 0, 23), (2, 20.0, 20.0, 1.0, 0, 20), (3, 22.0, 22.0, 1.0, 0, 22), (4, 10.0, 11.0, 0.9090909090909091, 13, 24), (5, 15.0, 16.0, 0.9375, 8, 24), (6, 10.0, 11.0, 0.9090909090909091, 4, 15)]",100,2,2.742999792098999,0.0
Experiment 11,High Flexibility,23.0,"[[(0.0, 23.0)], [(22, 1.0)], [(22, 1.0)], [(21, 2.0)], [(0.0, 12.0)], [(0.0, 9.0), (15, 1), (20, 1)], [(0.0, 6.0), (9, 1), (12, 4)], [(0.0, 23.0)]]","[[23.0], [1.0], [1.0], [2.0], [12.0], [9.0, 1, 1], [6.0, 1, 4], [23.0]]","[(0, 0.0, 0.0), (1, 22, 0.9565217391304348), (2, 22, 0.9565217391304348), (3, 21, 0.9130434782608695), (4, 11, 0.4782608695652174), (5, 12, 0.5217391304347826), (6, 12, 0.5217391304347826), (7, 0.0, 0.0)]","[(1, 22.0, 22.0, 1.0, 0, 22), (2, 22.0, 22.0, 1.0, 0, 22), (3, 21.0, 21.0, 1.0, 0, 21), (4, 11.0, 11.0, 1.0, 12, 23), (5, 12.0, 14.0, 0.8571428571428571, 9, 23), (6, 12.0, 17.0, 0.7058823529411765, 6, 23)]",100,2,8.922000169754028,0.0
Experiment 12,No Flexibility,17.0,"[[(0.0, 17.0)], [(10, 7.0)], [(10, 7.0)], [(15, 2.0)], [(0.0, 2.0), (8, 1), (11, 2), (15, 2.0)], [(0.0, 2.0)], [(0.0, 6.0), (7, 3), (12, 3)], [(0.0, 17.0)]]","[[17.0], [7.0], [7.0], [2.0], [2.0, 1, 2, 2.0], [2.0], [6.0, 3, 3], [17.0]]","[(0, 0.0, 0.0), (1, 10, 0.5882352941176471), (2, 10, 0.5882352941176471), (3, 15, 0.8823529411764706), (4, 10, 0.5882352941176471), (5, 15, 0.8823529411764706), (6, 5, 0.29411764705882354), (7, 0.0, 0.0)]","[(1, 10.0, 10.0, 1.0, 0, 10), (2, 10.0, 10.0, 1.0, 0, 10), (3, 15.0, 15.0, 1.0, 0, 15), (4, 10.0, 13.0, 0.7692307692307693, 2, 15), (5, 15.0, 15.0, 1.0, 2, 17), (6, 5.0, 11.0, 0.45454545454545453, 6, 17)]",65,2,0.09399986267089844,0.0
Experiment 12,Low Flexibility,14.0,"[[(0.0, 14.0)], [(12, 2.0)], [(12, 2.0)], [(11, 3.0)], [(0.0, 4.0)], [(0.0, 2.0), (12, 2.0)], [(0.0, 2.0), (5, 1), (9, 1)], [(0.0, 14.0)]]","[[14.0], [2.0], [2.0], [3.0], [4.0], [2.0, 2.0], [2.0, 1, 1], [14.0]]","[(0, 0.0, 0.0), (1, 12, 0.8571428571428571), (2, 12, 0.8571428571428571), (3, 11, 0.7857142857142857), (4, 10, 0.7142857142857143), (5, 10, 0.7142857142857143), (6, 10, 0.7142857142857143), (7, 0.0, 0.0)]","[(1, 12.0, 12.0, 1.0, 0, 12), (2, 12.0, 12.0, 1.0, 0, 12), (3, 11.0, 11.0, 1.0, 0, 11), (4, 10.0, 10.0, 1.0, 4, 14), (5, 10.0, 10.0, 1.0, 2, 12), (6, 10.0, 12.0, 0.8333333333333334, 2, 14)]",65,2,1.7109999656677246,0.0
Experiment 12,High Flexibility,13.0,"[[(0.0, 13.0)], [(11, 2.0)], [(12, 1.0)], [(12, 1.0)], [(0.0, 2.0), (10, 1)], [(0.0, 2.0), (8, 1)], [(0.0, 2.0), (12, 1.0)], [(0.0, 13.0)]]","[[13.0], [2.0], [1.0], [1.0], [2.0, 1], [2.0, 1], [2.0, 1.0], [13.0]]","[(0, 0.0, 0.0), (1, 11, 0.8461538461538461), (2, 12, 0.9230769230769231), (3, 12, 0.9230769230769231), (4, 10, 0.7692307692307693), (5, 10, 0.7692307692307693), (6, 10, 0.7692307692307693), (7, 0.0, 0.0)]","[(1, 11.0, 11.0, 1.0, 0, 11), (2, 12.0, 12.0, 1.0, 0, 12), (3, 12.0, 12.0, 1.0, 0, 12), (4, 10.0, 11.0, 0.9090909090909091, 2, 13), (5, 10.0, 11.0, 0.9090909090909091, 2, 13), (6, 10.0, 10.0, 1.0, 2, 12)]",65,2,6.454999923706055,0.0
Experiment 13,No Flexibility,30.0,"[[(0.0, 30.0)], [(25, 5.0)], [(12, 1), (21, 9.0)], [(6, 3), (11, 1), (14, 16.0)], [(0.0, 5.0)], [(0.0, 4.0), (29, 1.0)], [(0.0, 2.0), (8, 3), (13, 7), (22, 8.0)], [(0.0, 30.0)]]","[[30.0], [5.0], [1, 9.0], [3, 1, 16.0], [5.0], [4.0, 1.0], [2.0, 3, 7, 8.0], [30.0]]","[(0, 0.0, 0.0), (1, 25, 0.8333333333333334), (2, 20, 0.6666666666666666), (3, 10, 0.3333333333333333), (4, 25, 0.8333333333333334), (5, 25, 0.8333333333333334), (6, 10, 0.3333333333333333), (7, 0.0, 0.0)]","[(1, 25.0, 25.0, 1.0, 0, 25), (2, 20.0, 21.0, 0.9523809523809523, 0, 21), (3, 10.0, 14.0, 0.7142857142857143, 0, 14), (4, 25.0, 25.0, 1.0, 5, 30), (5, 25.0, 25.0, 1.0, 4, 29), (6, 10.0, 20.0, 0.5, 2, 22)]",115,2,0.24599981307983398,0.0
